Year,(kg/yr),+/- (kg/yr) +/-,Percent
1990,"11,700,000","1,100,000",9
1991,"8,180,000","853,000",10
1992,"7,500,000","728,000",10
1993,"31,900,000","2,790,000",9
1994,"21,500,000","1,960,000",9
1995,"10,500,000","657,000",6
1996,"29,998,300","2,329,900",8
1997,"10,003,735","734,468",7
1998,"32,544,932","3,186,089",10
1999,"8,214,323","908,264",11
2000,"8,271,926","748,817",9
2001,"7,701,331","903,897",12
2002,"5,361,084","537,840",10
2003,"48,037,643","4,799,800",10
2004,"17,456,814","2,141,725",12
