YEAR,Month,(kg/mo),+/- (kg/mo),+/- Pct
1988,1,"22,709,804","8,049,755",35
1988,2,"6,563,523","1,729,236",26
1988,3,"3,511,958","1,272,558",36
1988,4,"4,425,116","1,045,027",24
1988,5,"27,454,224","7,730,898",28
1988,6,"1,679,034","441,164",26
1988,7,"1,238,733","493,651",40
1988,8,"417,880","196,822",47
1988,9,"679,086","220,893",33
1988,10,"174,439","45,345",26
1988,11,"2,336,684","703,058",30
1988,12,"981,715","272,991",28
1989,1,"4,747,954","1,632,892",34
1989,2,"5,507,902","1,564,353",28
1989,3,"45,832,723","14,635,381",32
1989,4,"27,542,094","11,137,255",40
1989,5,"415,161,785","137,191,752",33
1989,6,"37,855,909","10,053,618",27
1989,7,"52,388,410","19,164,160",37
1989,8,"12,592,452","3,022,073",24
1989,9,"138,342,452","46,893,739",34
1989,10,"180,638,953","58,794,615",33
1989,11,"45,847,921","18,502,252",40
1989,12,"5,951,978","1,216,020",20
1990,1,"87,591,112","29,525,614",34
1990,2,"47,405,121","10,272,027",22
1990,3,"24,323,717","5,743,012",24
1990,4,"34,868,299","7,382,867",21
1990,5,"118,269,838","44,348,498",37
1990,6,"30,634,854","11,061,603",36
1990,7,"5,115,488","1,647,964",32
1990,8,"1,942,589","608,872",31
1990,9,"437,183","102,001",23
1990,10,"192,578,329","87,165,934",45
1990,11,"7,839,133","2,534,537",32
1990,12,"35,188,680","11,288,466",32
1991,1,"169,596,193","53,850,803",32
1991,2,"8,847,778","1,993,571",23
1991,3,"126,040,245","36,024,078",29
1991,4,"46,801,555","13,730,528",29
1991,5,"6,984,152","1,412,346",20
1991,6,"2,823,152","734,100",26
1991,7,"20,790,987","7,277,627",35
1991,8,"8,209,941","2,493,741",30
1991,9,"430,644","98,589",23
1991,10,"215,702","48,561",23
1991,11,"503,572","142,201",28
1991,12,"14,984,296","6,051,765",40
1992,1,"17,475,234","6,915,950",40
1992,2,"37,559,319","19,278,285",51
1992,3,"31,976,547","6,777,940",21
1992,4,"219,123,210","121,609,410",55
1992,5,"24,072,774","5,412,274",22
1992,6,"88,109,524","39,485,498",45
1992,7,"3,451,295","893,900",26
1992,8,"759,529","168,527",22
1992,9,"3,180,288","1,357,768",43
1992,10,"1,035,677","268,313",26
1992,11,"49,053,549","19,622,477",40
1992,12,"37,001,159","13,473,950",36
1993,1,"41,861,682","10,312,147",25
1993,2,"23,858,583","7,398,410",31
1993,3,"431,784,875","120,149,357",28
1993,4,"156,292,197","36,998,986",24
1993,5,"19,190,986","3,775,247",20
1993,6,"5,446,142","1,460,157",27
1993,7,"1,345,903","348,816",26
1993,8,"772,165","247,495",32
1993,9,"408,789","88,622",22
1993,10,"198,139","46,027",23
1993,11,"65,317,256","41,062,279",63
1993,12,"58,946,574","29,165,637",49
1994,1,"60,198,306","19,432,030",32
1994,2,"122,572,769","31,964,928",26
1994,3,"289,178,150","84,981,474",29
1994,4,"49,811,354","14,261,101",29
1994,5,"19,980,362","5,349,862",27
1994,6,"1,149,710","222,305",19
1994,7,"13,415,560","6,300,989",47
1994,8,"82,911,747","40,373,707",49
1994,9,"1,757,815","480,826",27
1994,10,"387,506","76,567",20
1994,11,"471,241","103,791",22
1994,12,"977,198","205,632",21
1995,1,"125,039,250","59,069,328",47
1995,2,"5,904,227","1,256,799",21
1995,3,"13,065,641","3,816,143",29
1995,4,"981,910","193,174",20
1995,5,"11,246,216","2,139,659",19
1995,6,"409,364,125","151,471,254",37
1995,7,"108,725,017","41,293,201",38
1995,8,"564,834","121,800",22
1995,9,"231,161","52,410",23
1995,10,"21,617,642","9,929,366",46
1995,11,"19,171,630","6,920,831",36
1995,12,"14,072,848","3,839,554",27
1996,1,"349,371,111","139,331,062",40
1996,2,"44,002,414","10,683,340",24
1996,3,"42,676,855","11,230,107",26
1996,4,"25,863,401","7,039,675",27
1996,5,"37,372,097","10,521,133",28
1996,6,"42,155,961","13,806,811",33
1996,7,"1,054,186","203,973",19
1996,8,"5,569,942","2,219,300",40
1996,9,"751,033,745","396,541,873",53
1996,10,"11,115,161","3,056,000",27
1996,11,"32,598,579","10,660,891",33
1996,12,"230,017,990","82,506,652",36
1997,1,"23,032,639","6,907,837",30
1997,2,"25,060,057","5,327,001",21
1997,3,"64,549,771","19,099,173",30
1997,4,"8,723,130","1,808,774",21
1997,5,"5,526,458","1,290,368",23
1997,6,"30,630,895","13,233,974",43
1997,7,"10,534,967","5,570,521",53
1997,8,"436,639","98,899",23
1997,9,"1,112,254","532,442",48
1997,10,"320,550","92,015",29
1997,11,"14,497,424","7,617,138",53
1997,12,"1,932,835","458,213",24
1998,1,"227,483,826","77,779,685",34
1998,2,"362,649,687","101,525,655",28
1998,3,"238,971,210","83,683,722",35
1998,4,"128,443,300","35,651,510",28
1998,5,"95,642,944","29,545,775",31
1998,6,"6,479,966","1,338,493",21
1998,7,"1,421,096","310,671",22
1998,8,"1,039,508","295,507",28
1998,9,"130,883","31,007",24
1998,10,"174,647","57,731",33
1998,11,"89,199","21,374",24
1998,12,"185,848","47,288",25
1999,1,"14,462,321","5,983,904",41
1999,2,"3,122,764","723,630",23
1999,3,"22,157,918","5,710,394",26
1999,4,"2,492,811","521,072",21
1999,5,"6,523,138","1,975,417",30
1999,6,"212,268","50,819",24
1999,7,"105,276","25,986",25
1999,8,"165,921","67,453",41
1999,9,"80,717,270","58,311,547",72
1999,10,"62,252,828","47,624,079",77
1999,11,"2,662,921","843,810",32
1999,12,"12,213,427","4,481,929",37
2000,1,"1,738,126","431,767",25
2000,2,"16,861,025","6,464,433",38
2000,3,"28,909,030","9,720,026",34
2000,4,"48,724,635","15,434,486",32
2000,5,"5,749,342","1,446,247",25
2000,6,"3,807,967","1,073,286",28
2000,7,"2,318,036","634,154",27
2000,8,"3,138,408","838,237",27
2000,9,"30,519,884","11,576,670",38
2000,10,"770,467","215,395",28
2000,11,"242,212","57,687",24
2000,12,"2,013,834","733,217",36
2001,1,"3,294,859","1,199,327",36
2001,2,"929,267","197,701",21
2001,3,"52,624,069","19,855,430",38
2001,4,"31,145,985","11,864,649",38
