YEAR,Month,(kg/mo),+/- (kg/mo),+/- Pct
1990,1,"1,010,708","190,472",19
1990,2,"825,333","154,187",19
1990,3,"516,406","97,081",19
1990,4,"863,058","161,236",19
1990,5,"989,940","230,886",23
1990,6,"811,552","224,216",28
1990,7,"152,586","33,065",22
1990,8,"190,642","54,624",29
1990,9,"24,930","4,912",20
1990,10,"110,080","29,188",27
1990,11,"128,506","28,535",22
1990,12,"246,282","49,314",20
1991,1,"808,007","152,202",19
1991,2,"154,630","27,371",18
1991,3,"358,588","66,246",18
1991,4,"410,777","80,960",20
1991,5,"79,160","14,429",18
1991,6,"6,786","1,483",22
1991,7,"9,727","2,538",26
1991,8,"7,232","2,297",32
1991,9,"4,169","1,511",36
1991,10,"15,020","5,450",36
1991,11,"7,843","1,681",21
1991,12,"157,556","32,626",21
1992,1,"211,430","40,530",19
1992,2,"130,304","30,125",23
1992,3,"489,776","87,280",18
1992,4,"228,289","44,070",19
1992,5,"136,702","25,146",18
1992,6,"131,670","29,611",22
1992,7,"220,853","74,893",34
1992,8,"242,131","57,698",24
1992,9,"43,704","8,954",20
1992,10,"61,872","12,373",20
1992,11,"176,803","30,858",17
1992,12,"614,264","130,693",21
1993,1,"816,359","143,509",18
1993,2,"436,189","79,509",18
1993,3,"1,790,993","311,140",17
1993,4,"1,608,041","274,569",17
1993,5,"885,932","158,837",18
1993,6,"235,416","46,350",20
1993,7,"36,703","8,586",23
1993,8,"63,384","19,478",31
1993,9,"21,360","4,481",21
1993,10,"24,644","4,713",19
1993,11,"150,558","52,314",35
1993,12,"951,080","197,648",21
1994,1,"651,017","107,152",16
1994,2,"1,185,129","230,800",19
1994,3,"1,919,873","362,192",19
1994,4,"1,378,556","308,185",22
1994,5,"472,098","95,447",20
1994,6,"75,579","13,073",17
1994,7,"153,692","39,892",26
1994,8,"623,387","151,508",24
1994,9,"133,396","37,934",28
1994,10,"82,022","17,115",21
1994,11,"127,332","25,522",20
1994,12,"127,411","22,057",17
1995,1,"488,068","89,143",18
1995,2,"257,130","43,480",17
1995,3,"373,312","77,878",21
1995,4,"122,327","22,535",18
1995,5,"207,711","36,291",17
1995,6,"226,525","55,956",25
1995,7,"143,226","27,277",19
1995,8,"17,978","3,962",22
1995,9,"2,693",696,26
1995,10,"254,601","55,399",22
1995,11,"364,668","66,079",18
1995,12,"339,759","61,785",18
1996,1,"1,104,119","208,438",19
1996,2,"929,824","145,902",16
1996,3,"588,119","90,582",15
1996,4,"892,788","153,142",17
1996,5,"458,566","74,625",16
1996,6,"287,566","50,553",18
1996,7,"318,158","60,161",19
1996,8,"318,864","60,379",19
1996,9,"825,774","209,563",25
1996,10,"950,793","182,700",19
1996,11,"794,992","147,292",19
1996,12,"1,609,560","260,278",16
1997,1,"640,982","92,972",15
1997,2,"745,692","114,910",15
1997,3,"924,527","137,206",15
1997,4,"508,565","77,904",15
1997,5,"346,058","62,020",18
1997,6,"278,297","57,582",21
1997,7,"207,239","55,236",27
1997,8,"65,120","13,676",21
1997,9,"7,015","1,473",21
1997,10,"37,315","7,759",21
1997,11,"576,168","111,323",19
1997,12,"238,853","37,445",16
1998,1,"1,007,497","264,084",26
1998,2,"3,823,669","840,265",22
1998,3,"3,011,182","627,454",21
1998,4,"1,502,736","271,168",18
1998,5,"991,869","203,002",20
1998,6,"275,939","50,689",18
1998,7,"55,301","10,663",19
1998,8,"15,641","3,465",22
1998,9,"3,627",744,21
1998,10,"7,628","1,605",21
1998,11,"13,108","2,416",18
1998,12,"39,827","8,059",20
1999,1,"164,920","32,665",20
1999,2,"104,204","19,074",18
1999,3,"550,137","107,060",19
1999,4,"135,869","23,818",18
1999,5,"27,336","5,110",19
1999,6,"4,512",896,20
1999,7,"10,071","2,456",24
1999,8,"5,903","1,541",26
1999,9,"447,405","150,106",34
1999,10,"156,375","32,009",20
1999,11,"66,378","11,857",18
1999,12,"156,729","30,420",19
2000,1,"153,786","25,547",17
2000,2,"270,975","44,155",16
2000,3,"318,803","56,803",18
2000,4,"579,499","105,123",18
2000,5,"250,311","58,323",23
2000,6,"134,531","24,274",18
2000,7,"173,127","33,746",19
2000,8,"128,717","29,271",23
2000,9,"78,713","15,756",20
2000,10,"22,818","4,790",21
2000,11,"37,552","7,771",21
2000,12,"166,917","41,258",25
2001,1,"197,376","43,150",22
2001,2,"141,164","23,597",17
2001,3,"312,842","62,226",20
2001,4,"542,809","112,527",21
2001,5,"227,118","56,318",25
2001,6,"226,598","47,185",21
2001,7,"21,374","4,588",21
2001,8,"53,988","10,216",19
2001,9,"11,053","2,057",19
2001,10,"4,634",832,18
2001,11,"9,153","1,622",18
2001,12,"27,661","5,060",18
2002,1,"51,702","9,043",17
2002,2,"27,363","5,033",18
2002,3,"58,802","10,280",17
2002,4,"72,747","14,600",20
2002,5,"78,839","15,991",20
2002,6,"8,389","1,723",21
2002,7,"2,804",771,28
2002,8,811,301,37
2002,9,"2,249",537,24
2002,10,"12,309","2,925",24
2002,11,"268,869","55,948",21
2002,12,"393,448","73,079",19
2003,1,"329,584","70,710",21
2003,2,"969,774","283,273",29
