CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,6.54E+04,6.07E+04,7.04E+04,2.13E+03,2.48E+03,,,,,,
1986,8.68E+04,8.07E+04,9.32E+04,2.37E+03,3.18E+03,,,,,,
1987,9.58E+04,8.97E+04,1.02E+05,2.19E+03,3.18E+03,,,,,,
1988,7.90E+04,7.49E+04,8.34E+04,1.47E+03,2.17E+03,,,,,,
1989,1.86E+05,1.78E+05,1.96E+05,3.28E+03,4.64E+03,,,,,,
1990,1.14E+05,1.08E+05,1.20E+05,1.94E+03,2.98E+03,,,,,,
1991,1.05E+05,9.99E+04,1.11E+05,1.93E+03,2.86E+03,,,,,,
1992,9.62E+04,9.13E+04,1.01E+05,1.95E+03,2.59E+03,,,,,,
1993,1.24E+05,1.16E+05,1.32E+05,2.65E+03,3.99E+03,,,,,,
1994,1.87E+05,1.76E+05,1.99E+05,3.88E+03,5.86E+03,,,,,,
1995,1.10E+05,1.04E+05,1.17E+05,2.46E+03,3.29E+03,,,,,,
1996,2.52E+05,2.38E+05,2.66E+05,5.22E+03,7.11E+03,,,,,,
1997,1.54E+05,1.45E+05,1.63E+05,3.25E+03,4.48E+03,,,,,,
1998,1.59E+05,1.49E+05,1.70E+05,3.55E+03,5.45E+03,,,,,,
1999,1.26E+05,1.19E+05,1.33E+05,2.48E+03,3.76E+03,,,,,,
2000,1.68E+05,1.58E+05,1.77E+05,3.51E+03,4.84E+03,,,,,,
2001,1.47E+05,1.38E+05,1.57E+05,3.51E+03,4.86E+03,,,,,,
2002,1.07E+05,9.98E+04,1.15E+05,3.04E+03,3.92E+03,,,,,,
2003,2.83E+05,2.62E+05,3.05E+05,9.62E+03,1.09E+04,,,,,,
2004,1.32E+05,1.20E+05,1.44E+05,5.23E+03,5.95E+03,,,,,,
