CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.11E+03,8.00E+02,1.50E+03,1.03E+02,1.78E+02,,,,,,
1986,1.31E+03,1.01E+03,1.68E+03,9.91E+01,1.72E+02,,,,,,
1987,1.56E+03,1.25E+03,1.92E+03,9.88E+01,1.72E+02,,,,,,
1988,1.27E+03,1.07E+03,1.51E+03,6.43E+01,1.13E+02,,,,,,
1989,6.25E+03,5.19E+03,7.47E+03,3.55E+02,5.82E+02,,,,,,
1990,2.63E+03,2.06E+03,3.30E+03,1.28E+02,3.18E+02,,,,,,
1991,2.15E+03,1.75E+03,2.61E+03,1.06E+02,2.20E+02,,,,,,
1992,1.78E+03,1.50E+03,2.10E+03,9.70E+01,1.54E+02,,,,,,
1993,2.61E+03,2.05E+03,3.28E+03,1.57E+02,3.13E+02,,,,,,
1994,5.80E+03,4.40E+03,7.51E+03,3.74E+02,7.96E+02,,,,,,
1995,1.89E+03,1.56E+03,2.26E+03,1.11E+02,1.77E+02,,,,,,
1996,9.34E+03,7.35E+03,1.17E+04,6.04E+02,1.12E+03,,,,,,
1997,3.50E+03,2.81E+03,4.30E+03,2.00E+02,3.81E+02,,,,,,
1998,3.83E+03,2.98E+03,4.85E+03,2.48E+02,4.78E+02,,,,,,
1999,4.74E+03,2.34E+03,8.60E+03,4.78E+02,1.62E+03,,,,,,
2000,4.46E+03,3.59E+03,5.48E+03,2.67E+02,4.85E+02,,,,,,
2001,5.02E+03,3.18E+03,7.54E+03,4.16E+02,1.12E+03,,,,,,
2002,2.26E+03,1.74E+03,2.89E+03,1.86E+02,2.94E+02,,,,,,
2003,9.66E+03,7.50E+03,1.22E+04,9.55E+02,1.21E+03,,,,,,
2004,2.54E+03,1.83E+03,3.45E+03,2.84E+02,4.14E+02,,,,,,
