CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.12E+05,1.06E+05,1.19E+05,2.72E+03,3.29E+03,,,,,,
1986,1.52E+05,1.44E+05,1.61E+05,3.11E+03,4.42E+03,,,,,,
1987,1.65E+05,1.57E+05,1.74E+05,2.86E+03,4.33E+03,,,,,,
1988,1.22E+05,1.17E+05,1.28E+05,1.71E+03,2.60E+03,,,,,,
1989,3.39E+05,3.26E+05,3.52E+05,4.48E+03,6.69E+03,,,,,,
1990,1.81E+05,1.73E+05,1.88E+05,2.28E+03,3.75E+03,,,,,,
1991,1.57E+05,1.50E+05,1.63E+05,2.11E+03,3.29E+03,,,,,,
1992,1.34E+05,1.28E+05,1.39E+05,2.00E+03,2.73E+03,,,,,,
1993,1.89E+05,1.80E+05,1.99E+05,3.05E+03,4.93E+03,,,,,,
1994,3.12E+05,2.96E+05,3.29E+05,5.09E+03,8.56E+03,,,,,,
1995,1.48E+05,1.41E+05,1.55E+05,2.44E+03,3.41E+03,,,,,,
1996,4.20E+05,4.02E+05,4.40E+05,6.62E+03,9.70E+03,,,,,,
1997,2.22E+05,2.12E+05,2.32E+05,3.46E+03,4.98E+03,,,,,,
1998,2.50E+05,2.36E+05,2.64E+05,4.27E+03,6.99E+03,,,,,,
1999,1.89E+05,1.78E+05,2.01E+05,2.77E+03,5.78E+03,,,,,,
2000,2.54E+05,2.43E+05,2.66E+05,3.91E+03,5.88E+03,,,,,,
2001,2.35E+05,2.22E+05,2.48E+05,4.22E+03,6.72E+03,,,,,,
2002,1.60E+05,1.51E+05,1.69E+05,3.40E+03,4.62E+03,,,,,,
2003,4.99E+05,4.71E+05,5.28E+05,1.27E+04,1.47E+04,,,,,,
2004,2.00E+05,1.86E+05,2.14E+05,5.90E+03,7.08E+03,,,,,,
