CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.21E+04,9.28E+03,1.54E+04,1.33E+03,1.56E+03,,,,,,
1986,6.31E+03,5.13E+03,7.67E+03,5.83E+02,6.49E+02,,,,,,
1987,1.34E+04,1.11E+04,1.60E+04,1.03E+03,1.25E+03,,,,,,
1988,6.69E+03,5.78E+03,7.71E+03,4.10E+02,4.93E+02,,,,,,
1989,1.44E+04,1.27E+04,1.63E+04,6.90E+02,9.21E+02,,,,,,
1990,1.12E+04,9.91E+03,1.26E+04,4.43E+02,6.78E+02,,,,,,
1991,8.38E+03,7.40E+03,9.45E+03,2.77E+02,5.23E+02,,,,,,
1992,8.61E+03,7.73E+03,9.56E+03,2.59E+02,4.67E+02,,,,,,
1993,2.05E+04,1.82E+04,2.31E+04,7.23E+02,1.26E+03,,,,,,
1994,1.58E+04,1.39E+04,1.78E+04,5.22E+02,9.85E+02,,,,,,
1995,1.20E+04,1.08E+04,1.33E+04,3.98E+02,6.37E+02,,,,,,
1996,2.20E+04,1.94E+04,2.49E+04,8.65E+02,1.39E+03,,,,,,
1997,1.00E+04,9.03E+03,1.11E+04,3.15E+02,5.36E+02,,,,,,
1998,1.90E+04,1.66E+04,2.17E+04,7.71E+02,1.30E+03,,,,,,
1999,8.39E+03,7.24E+03,9.68E+03,2.84E+02,6.24E+02,,,,,,
2000,7.99E+03,7.14E+03,8.92E+03,2.56E+02,4.54E+02,,,,,,
2001,6.15E+03,5.30E+03,7.08E+03,2.25E+02,4.54E+02,,,,,,
2002,5.07E+03,4.37E+03,5.86E+03,2.45E+02,3.81E+02,,,,,,
2003,2.84E+04,2.41E+04,3.33E+04,1.84E+03,2.35E+03,,,,,,
2004,1.44E+04,1.19E+04,1.71E+04,1.06E+03,1.32E+03,,,,,,
