CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1988,7.41E+07,5.27E+07,1.01E+08,6.99E+06,1.24E+07,,,,,,
1989,1.03E+09,7.03E+08,1.46E+09,7.95E+07,1.93E+08,,,,,,
1990,5.85E+08,4.01E+08,8.24E+08,3.43E+07,1.08E+08,,,,,,
1991,4.24E+08,2.98E+08,5.87E+08,2.38E+07,7.40E+07,,,,,,
1992,5.68E+08,3.11E+08,9.56E+08,3.85E+07,1.66E+08,,,,,,
1993,8.65E+08,5.90E+08,1.23E+09,5.77E+07,1.63E+08,,,,,,
1994,6.80E+08,4.68E+08,9.56E+08,4.28E+07,1.25E+08,,,,,,
1995,7.09E+08,4.14E+08,1.14E+09,5.48E+07,1.86E+08,,,,,,
1996,1.62E+09,8.71E+08,2.77E+09,1.64E+08,4.88E+08,,,,,,
1997,2.07E+08,1.55E+08,2.72E+08,1.19E+07,2.99E+07,,,,,,
1998,1.10E+09,7.93E+08,1.50E+09,8.24E+07,1.80E+08,,,,,,
1999,2.05E+08,9.43E+07,3.91E+08,1.49E+07,7.68E+07,,,,,,
2000,1.22E+08,8.90E+07,1.63E+08,6.95E+06,1.88E+07,,,,,,
2001,1.09E+08,7.15E+07,1.59E+08,7.29E+06,2.24E+07,,,,,,
2002,8.68E+07,6.22E+07,1.18E+08,6.66E+06,1.43E+07,,,,,,
2003,1.63E+09,1.16E+09,2.22E+09,1.59E+08,2.73E+08,,,,,,
2004,4.66E+08,2.82E+08,7.26E+08,5.31E+07,1.14E+08,,,,,,
