CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,5.06E+06,2.15E+06,1.02E+07,1.24E+06,2.08E+06,,,,,,
1986,4.77E+06,2.12E+06,9.32E+06,1.19E+06,1.87E+06,,,,,,
1987,5.80E+06,2.65E+06,1.11E+07,1.34E+06,2.19E+06,,,,,,
1988,5.70E+06,2.09E+06,1.26E+07,1.45E+06,2.75E+06,,,,,,
1989,1.90E+07,7.16E+06,4.15E+07,5.87E+06,8.98E+06,,,,,,
1990,9.03E+06,4.53E+06,1.62E+07,2.06E+06,3.02E+06,,,,,,
1991,2.75E+06,1.53E+06,4.56E+06,4.45E+05,7.81E+05,,,,,,
1992,9.02E+06,3.93E+06,1.78E+07,2.36E+06,3.62E+06,,,,,,
1993,2.06E+07,7.46E+06,4.57E+07,6.95E+06,1.00E+07,,,,,,
1994,9.69E+06,5.39E+06,1.61E+07,2.19E+06,2.76E+06,,,,,,
1995,6.40E+06,2.83E+06,1.26E+07,1.53E+06,2.53E+06,,,,,,
1996,7.12E+07,1.81E+07,1.95E+08,3.01E+07,4.75E+07,,,,,,
1997,2.27E+06,9.60E+05,4.56E+06,4.04E+05,9.38E+05,,,,,,
1998,8.64E+06,4.34E+06,1.55E+07,2.12E+06,2.88E+06,,,,,,
1999,3.57E+06,1.57E+06,7.02E+06,7.11E+05,1.41E+06,,,,,,
2000,4.65E+06,2.21E+06,8.68E+06,9.81E+05,1.68E+06,,,,,,
2001,1.31E+06,5.59E+05,2.63E+06,2.20E+05,5.38E+05,,,,,,
2002,2.14E+06,1.34E+06,3.25E+06,3.45E+05,4.90E+05,,,,,,
2003,1.66E+07,7.17E+06,3.32E+07,4.87E+06,6.77E+06,,,,,,
2004,6.50E+06,3.18E+06,1.19E+07,1.59E+06,2.25E+06,,,,,,
