CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,2.08E+06,1.89E+06,2.29E+06,8.97E+04,1.01E+05,,,,,,
1986,2.05E+06,1.88E+06,2.23E+06,7.63E+04,8.91E+04,,,,,,
1987,2.61E+06,2.43E+06,2.80E+06,7.93E+04,9.52E+04,,,,,,
1988,2.07E+06,1.92E+06,2.21E+06,5.65E+04,7.38E+04,,,,,,
1989,2.96E+06,2.78E+06,3.15E+06,7.56E+04,9.57E+04,,,,,,
1990,3.23E+06,3.05E+06,3.42E+06,7.29E+04,9.36E+04,,,,,,
1991,2.35E+06,2.22E+06,2.48E+06,5.12E+04,6.82E+04,,,,,,
1992,3.16E+06,2.97E+06,3.36E+06,7.51E+04,1.01E+05,,,,,,
1993,4.93E+06,4.54E+06,5.35E+06,1.74E+05,2.06E+05,,,,,,
1994,3.88E+06,3.63E+06,4.14E+06,1.04E+05,1.28E+05,,,,,,
1995,2.33E+06,2.20E+06,2.47E+06,4.91E+04,6.82E+04,,,,,,
1996,6.91E+06,6.41E+06,7.45E+06,2.33E+05,2.65E+05,,,,,,
1997,2.14E+06,2.03E+06,2.26E+06,4.38E+04,5.80E+04,,,,,,
1998,3.91E+06,3.63E+06,4.20E+06,1.19E+05,1.45E+05,,,,,,
1999,2.03E+06,1.92E+06,2.14E+06,3.94E+04,5.48E+04,,,,,,
2000,2.55E+06,2.41E+06,2.70E+06,5.56E+04,7.46E+04,,,,,,
2001,1.49E+06,1.40E+06,1.58E+06,3.55E+04,4.61E+04,,,,,,
2002,1.44E+06,1.34E+06,1.55E+06,4.23E+04,5.28E+04,,,,,,
2003,5.03E+06,4.61E+06,5.48E+06,2.05E+05,2.22E+05,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
