CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.37E+05,1.02E+05,1.80E+05,1.41E+04,1.99E+04,,,,,,
1986,1.21E+05,9.70E+04,1.50E+05,1.02E+04,1.36E+04,,,,,,
1987,1.61E+05,1.21E+05,2.09E+05,1.31E+04,2.25E+04,,,,,,
1988,1.39E+05,1.04E+05,1.84E+05,1.13E+04,2.04E+04,,,,,,
1989,2.01E+05,1.62E+05,2.47E+05,1.50E+04,2.19E+04,,,,,,
1990,1.83E+05,1.53E+05,2.17E+05,1.09E+04,1.65E+04,,,,,,
1991,1.11E+05,9.66E+04,1.28E+05,5.26E+03,7.89E+03,,,,,,
1992,1.99E+05,1.58E+05,2.48E+05,1.45E+04,2.29E+04,,,,,,
1993,3.96E+05,2.97E+05,5.19E+05,4.46E+04,5.68E+04,,,,,,
1994,2.11E+05,1.78E+05,2.49E+05,1.40E+04,1.83E+04,,,,,,
1995,1.17E+05,9.96E+04,1.38E+05,5.88E+03,9.73E+03,,,,,,
1996,6.11E+05,4.53E+05,8.07E+05,7.17E+04,9.07E+04,,,,,,
1997,9.41E+04,8.20E+04,1.07E+05,3.92E+03,6.48E+03,,,,,,
1998,2.39E+05,1.92E+05,2.94E+05,1.96E+04,2.61E+04,,,,,,
1999,1.00E+05,8.65E+04,1.16E+05,4.51E+03,7.48E+03,,,,,,
2000,1.34E+05,1.12E+05,1.60E+05,7.41E+03,1.22E+04,,,,,,
2001,6.89E+04,5.97E+04,7.91E+04,3.43E+03,4.96E+03,,,,,,
2002,7.73E+04,6.53E+04,9.09E+04,4.95E+03,6.53E+03,,,,,,
2003,3.86E+05,2.95E+05,4.95E+05,4.27E+04,5.11E+04,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
