CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.30E+07,1.16E+07,1.45E+07,4.81E+05,7.31E+05,,,,,,
1986,9.42E+06,8.47E+06,1.04E+07,3.07E+05,5.04E+05,,,,,,
1987,1.41E+07,1.29E+07,1.53E+07,3.75E+05,6.26E+05,,,,,,
1988,1.04E+07,9.41E+06,1.14E+07,2.45E+05,4.99E+05,,,,,,
1989,1.61E+07,1.49E+07,1.73E+07,3.40E+05,6.16E+05,,,,,,
1990,1.67E+07,1.55E+07,1.81E+07,3.52E+05,6.56E+05,,,,,,
1991,1.46E+07,1.32E+07,1.61E+07,3.37E+05,7.19E+05,,,,,,
1992,1.55E+07,1.43E+07,1.68E+07,3.19E+05,6.45E+05,,,,,,
1993,2.51E+07,2.29E+07,2.75E+07,6.27E+05,1.18E+06,,,,,,
1994,2.52E+07,2.30E+07,2.75E+07,6.16E+05,1.14E+06,,,,,,
1995,1.54E+07,1.42E+07,1.67E+07,3.13E+05,6.35E+05,,,,,,
1996,4.43E+07,4.11E+07,4.76E+07,1.02E+06,1.66E+06,,,,,,
1997,1.62E+07,1.50E+07,1.76E+07,3.20E+05,6.69E+05,,,,,,
1998,2.60E+07,2.37E+07,2.84E+07,6.31E+05,1.19E+06,,,,,,
1999,9.00E+06,8.30E+06,9.75E+06,1.78E+05,3.72E+05,,,,,,
2000,9.57E+06,8.82E+06,1.04E+07,2.04E+05,3.95E+05,,,,,,
2001,8.06E+06,7.36E+06,8.81E+06,2.06E+05,3.70E+05,,,,,,
2002,7.97E+06,7.19E+06,8.81E+06,2.54E+05,4.12E+05,,,,,,
2003,2.72E+07,2.47E+07,2.99E+07,1.05E+06,1.33E+06,,,,,,
2004,1.59E+07,1.42E+07,1.76E+07,7.23E+05,8.72E+05,,,,,,
