CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,4.91E+05,2.99E+05,7.61E+05,4.04E+04,1.19E+05,,,,,,
1986,2.04E+05,1.57E+05,2.61E+05,1.30E+04,2.65E+04,,,,,,
1987,3.29E+05,2.60E+05,4.10E+05,1.77E+04,3.82E+04,,,,,,
1988,2.54E+05,1.87E+05,3.37E+05,1.35E+04,3.84E+04,,,,,,
1989,3.76E+05,3.09E+05,4.52E+05,1.75E+04,3.65E+04,,,,,,
1990,3.14E+05,2.54E+05,3.85E+05,1.38E+04,3.34E+04,,,,,,
1991,2.25E+05,1.78E+05,2.82E+05,1.03E+04,2.65E+04,,,,,,
1992,2.63E+05,2.17E+05,3.17E+05,1.09E+04,2.54E+04,,,,,,
1993,5.16E+05,4.03E+05,6.50E+05,2.89E+04,6.31E+04,,,,,,
1994,4.76E+05,3.83E+05,5.84E+05,2.44E+04,5.13E+04,,,,,,
1995,2.67E+05,2.19E+05,3.23E+05,1.10E+04,2.64E+04,,,,,,
1996,1.29E+06,9.78E+05,1.68E+06,7.81E+04,1.79E+05,,,,,,
1997,2.81E+05,2.21E+05,3.53E+05,1.08E+04,3.35E+04,,,,,,
1998,5.62E+05,4.53E+05,6.89E+05,2.83E+04,6.02E+04,,,,,,
1999,1.69E+05,1.41E+05,2.00E+05,6.75E+03,1.51E+04,,,,,,
2000,2.11E+05,1.78E+05,2.49E+05,9.34E+03,1.81E+04,,,,,,
2001,1.94E+05,1.59E+05,2.33E+05,1.03E+04,1.90E+04,,,,,,
2002,2.33E+05,1.85E+05,2.88E+05,1.58E+04,2.63E+04,,,,,,
2003,1.35E+06,1.05E+06,1.70E+06,1.15E+05,1.68E+05,,,,,,
2004,7.06E+05,5.32E+05,9.19E+05,6.96E+04,9.88E+04,,,,,,
