CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.46E+05,1.24E+05,1.71E+05,1.15E+04,1.22E+04,,,,,,
1986,6.43E+04,5.83E+04,7.08E+04,2.95E+03,3.19E+03,,,,,,
1987,1.54E+05,1.36E+05,1.75E+05,9.35E+03,1.01E+04,,,,,,
1988,6.92E+04,6.40E+04,7.47E+04,2.31E+03,2.72E+03,,,,,,
1989,1.68E+05,1.54E+05,1.84E+05,6.96E+03,7.73E+03,,,,,,
1990,1.23E+05,1.15E+05,1.32E+05,3.74E+03,4.40E+03,,,,,,
1991,1.14E+05,1.06E+05,1.23E+05,3.54E+03,4.30E+03,,,,,,
1992,1.31E+05,1.21E+05,1.42E+05,4.70E+03,5.54E+03,,,,,,
1993,1.41E+05,1.27E+05,1.56E+05,6.59E+03,7.41E+03,,,,,,
1994,1.26E+05,1.15E+05,1.38E+05,4.91E+03,5.70E+03,,,,,,
1995,1.37E+05,1.24E+05,1.52E+05,6.28E+03,7.17E+03,,,,,,
1996,1.88E+05,1.69E+05,2.09E+05,9.26E+03,1.02E+04,,,,,,
1997,9.68E+04,9.03E+04,1.04E+05,2.86E+03,3.39E+03,,,,,,
1998,2.01E+05,1.76E+05,2.29E+05,1.26E+04,1.34E+04,,,,,,
1999,8.65E+04,8.03E+04,9.30E+04,2.63E+03,3.23E+03,,,,,,
2000,7.95E+04,7.41E+04,8.53E+04,2.42E+03,2.85E+03,,,,,,
2001,6.10E+04,5.60E+04,6.63E+04,2.20E+03,2.65E+03,,,,,,
2002,4.03E+04,3.67E+04,4.42E+04,1.66E+03,1.90E+03,,,,,,
2003,2.21E+05,1.92E+05,2.53E+05,1.51E+04,1.58E+04,,,,,,
2004,1.28E+05,1.12E+05,1.46E+05,8.31E+03,8.68E+03,,,,,,
