CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,2.19E+05,1.32E+05,3.43E+05,3.58E+04,5.43E+04,,,,,,
1986,7.93E+04,6.38E+04,9.74E+04,7.57E+03,8.59E+03,,,,,,
1987,1.86E+05,1.42E+05,2.41E+05,1.84E+04,2.53E+04,,,,,,
1988,8.26E+04,6.76E+04,9.99E+04,6.52E+03,8.24E+03,,,,,,
1989,1.78E+05,1.43E+05,2.19E+05,1.62E+04,1.95E+04,,,,,,
1990,1.38E+05,1.12E+05,1.68E+05,1.17E+04,1.43E+04,,,,,,
1991,1.10E+05,8.96E+04,1.34E+05,9.39E+03,1.12E+04,,,,,,
1992,1.47E+05,1.17E+05,1.84E+05,1.31E+04,1.71E+04,,,,,,
1993,1.60E+05,1.27E+05,2.00E+05,1.49E+04,1.87E+04,,,,,,
1994,1.58E+05,1.26E+05,1.95E+05,1.43E+04,1.77E+04,,,,,,
1995,1.34E+05,1.07E+05,1.67E+05,1.14E+04,1.52E+04,,,,,,
1996,3.33E+05,2.31E+05,4.65E+05,3.45E+04,6.00E+04,,,,,,
1997,1.14E+05,9.51E+04,1.36E+05,8.23E+03,1.06E+04,,,,,,
1998,2.12E+05,1.72E+05,2.59E+05,1.65E+04,2.21E+04,,,,,,
1999,8.02E+04,6.78E+04,9.42E+04,5.16E+03,6.73E+03,,,,,,
2000,1.02E+05,8.57E+04,1.20E+05,7.17E+03,8.78E+03,,,,,,
2001,8.62E+04,7.04E+04,1.04E+05,7.12E+03,8.70E+03,,,,,,
2002,6.92E+04,5.38E+04,8.77E+04,7.68E+03,8.68E+03,,,,,,
2003,3.57E+05,2.47E+05,4.99E+05,5.88E+04,6.45E+04,,,,,,
2004,2.01E+05,1.32E+05,2.94E+05,3.90E+04,4.15E+04,,,,,,
