CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,4.40E+05,2.47E+05,7.28E+05,7.65E+04,1.24E+05,,,,,,
1986,1.29E+05,1.02E+05,1.60E+05,1.36E+04,1.49E+04,,,,,,
1987,3.39E+05,2.50E+05,4.51E+05,3.58E+04,5.14E+04,,,,,,
1988,1.35E+05,1.12E+05,1.62E+05,1.03E+04,1.27E+04,,,,,,
1989,2.81E+05,2.33E+05,3.35E+05,2.06E+04,2.60E+04,,,,,,
1990,2.17E+05,1.84E+05,2.53E+05,1.35E+04,1.76E+04,,,,,,
1991,1.78E+05,1.53E+05,2.07E+05,1.04E+04,1.37E+04,,,,,,
1992,2.43E+05,1.98E+05,2.95E+05,1.46E+04,2.46E+04,,,,,,
1993,2.78E+05,2.29E+05,3.35E+05,1.80E+04,2.71E+04,,,,,,
1994,2.64E+05,2.21E+05,3.13E+05,1.62E+04,2.34E+04,,,,,,
1995,2.01E+05,1.69E+05,2.38E+05,1.09E+04,1.77E+04,,,,,,
1996,6.00E+05,3.94E+05,8.75E+05,6.49E+04,1.23E+05,,,,,,
1997,1.63E+05,1.42E+05,1.87E+05,7.75E+03,1.15E+04,,,,,,
1998,3.41E+05,2.83E+05,4.07E+05,2.14E+04,3.18E+04,,,,,,
1999,1.03E+05,9.14E+04,1.16E+05,4.39E+03,6.38E+03,,,,,,
2000,1.25E+05,1.11E+05,1.42E+05,5.89E+03,7.88E+03,,,,,,
2001,1.09E+05,9.39E+04,1.27E+05,6.07E+03,8.41E+03,,,,,,
2002,8.24E+04,6.94E+04,9.70E+04,5.70E+03,7.05E+03,,,,,,
2003,4.34E+05,3.35E+05,5.54E+05,4.63E+04,5.60E+04,,,,,,
2004,2.18E+05,1.66E+05,2.82E+05,2.61E+04,2.96E+04,,,,,,
