CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.41E+10,1.13E+09,6.17E+10,1.70E+10,1.90E+10,,,,,,
1986,8.84E+06,4.83E+06,1.49E+07,1.44E+06,2.59E+06,,,,,,
1987,8.89E+08,1.37E+08,3.08E+09,6.70E+08,8.34E+08,,,,,,
1988,1.28E+07,7.47E+06,2.06E+07,2.02E+06,3.39E+06,,,,,,
1989,8.34E+07,3.86E+07,1.58E+08,2.24E+07,3.10E+07,,,,,,
1990,4.82E+07,2.02E+07,9.76E+07,1.29E+07,2.02E+07,,,,,,
1991,2.25E+07,1.36E+07,3.50E+07,3.87E+06,5.48E+06,,,,,,
1992,1.81E+08,4.01E+07,5.29E+08,9.88E+07,1.33E+08,,,,,,
1993,1.89E+08,4.27E+07,5.46E+08,1.02E+08,1.37E+08,,,,,,
1994,1.07E+08,4.47E+07,2.18E+08,3.80E+07,4.51E+07,,,,,,
1995,7.47E+07,3.04E+07,1.55E+08,2.44E+07,3.24E+07,,,,,,
1996,1.26E+10,1.00E+09,5.56E+10,1.53E+10,1.72E+10,,,,,,
1997,2.22E+07,1.16E+07,3.87E+07,4.34E+06,7.01E+06,,,,,,
1998,3.13E+08,8.66E+07,8.17E+08,1.68E+08,1.95E+08,,,,,,
1999,5.81E+06,3.59E+06,8.91E+06,6.41E+05,1.37E+06,,,,,,
2000,6.68E+06,4.85E+06,8.98E+06,6.94E+05,1.06E+06,,,,,,
2001,9.97E+06,5.10E+06,1.76E+07,1.75E+06,3.24E+06,,,,,,
2002,5.24E+06,3.23E+06,8.06E+06,7.21E+05,1.24E+06,,,,,,
2003,1.03E+09,1.81E+08,3.38E+09,7.13E+08,8.93E+08,,,,,,
2004,1.65E+08,4.34E+07,4.42E+08,7.63E+07,1.07E+08,,,,,,
