CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.89E+06,1.75E+06,2.03E+06,6.76E+04,7.38E+04,,,,,,
1986,1.76E+06,1.64E+06,1.89E+06,5.45E+04,6.20E+04,,,,,,
1987,1.57E+06,1.48E+06,1.67E+06,4.05E+04,4.67E+04,,,,,,
1988,1.48E+06,1.40E+06,1.56E+06,3.24E+04,4.15E+04,,,,,,
1989,2.11E+06,2.01E+06,2.21E+06,4.22E+04,5.23E+04,,,,,,
1990,1.89E+06,1.81E+06,1.98E+06,3.11E+04,4.25E+04,,,,,,
1991,1.49E+06,1.43E+06,1.55E+06,2.23E+04,3.20E+04,,,,,,
1992,1.78E+06,1.71E+06,1.85E+06,2.39E+04,3.64E+04,,,,,,
1993,2.92E+06,2.80E+06,3.04E+06,3.68E+04,6.15E+04,,,,,,
1994,2.77E+06,2.67E+06,2.88E+06,3.43E+04,5.46E+04,,,,,,
1995,1.65E+06,1.59E+06,1.71E+06,2.06E+04,3.12E+04,,,,,,
1996,4.41E+06,4.25E+06,4.57E+06,5.34E+04,8.06E+04,,,,,,
1997,1.85E+06,1.78E+06,1.92E+06,1.99E+04,3.68E+04,,,,,,
1998,2.72E+06,2.62E+06,2.83E+06,2.77E+04,5.16E+04,,,,,,
1999,1.52E+06,1.46E+06,1.57E+06,1.65E+04,2.78E+04,,,,,,
2000,1.53E+06,1.47E+06,1.58E+06,1.80E+04,2.77E+04,,,,,,
2001,1.13E+06,1.08E+06,1.17E+06,1.51E+04,2.25E+04,,,,,,
2002,1.21E+06,1.16E+06,1.26E+06,1.82E+04,2.61E+04,,,,,,
2003,3.76E+06,3.61E+06,3.92E+06,6.06E+04,8.00E+04,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
