CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.08E+07,5.87E+06,1.83E+07,2.34E+06,3.20E+06,,,,,,
1986,1.71E+07,5.96E+06,3.90E+07,5.31E+06,8.70E+06,,,,,,
1987,1.16E+07,5.00E+06,2.30E+07,2.54E+06,4.68E+06,,,,,,
1988,3.37E+07,1.03E+07,8.33E+07,1.18E+07,1.94E+07,,,,,,
1989,4.50E+07,1.98E+07,8.84E+07,1.17E+07,1.78E+07,,,,,,
1990,1.57E+07,8.20E+06,2.75E+07,2.97E+06,4.97E+06,,,,,,
1991,8.12E+06,4.76E+06,1.30E+07,1.11E+06,2.12E+06,,,,,,
1992,1.68E+07,8.81E+06,2.92E+07,3.01E+06,5.26E+06,,,,,,
1993,9.58E+07,3.79E+07,2.02E+08,3.59E+07,4.28E+07,,,,,,
1994,6.30E+07,3.15E+07,1.13E+08,1.74E+07,2.12E+07,,,,,,
1995,1.18E+07,7.33E+06,1.81E+07,1.57E+06,2.76E+06,,,,,,
1996,1.73E+08,6.18E+07,3.88E+08,6.71E+07,8.57E+07,,,,,,
1997,2.92E+07,6.39E+06,8.61E+07,1.19E+07,2.17E+07,,,,,,
1998,6.27E+07,2.97E+07,1.17E+08,1.79E+07,2.26E+07,,,,,,
1999,1.06E+07,6.83E+06,1.57E+07,1.31E+06,2.29E+06,,,,,,
2000,1.14E+07,6.87E+06,1.79E+07,1.51E+06,2.83E+06,,,,,,
2001,7.79E+06,3.94E+06,1.39E+07,1.06E+06,2.57E+06,,,,,,
2002,4.80E+06,3.27E+06,6.81E+06,5.94E+05,9.09E+05,,,,,,
2003,1.29E+08,3.95E+07,3.18E+08,5.42E+07,7.38E+07,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
