CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,4.45E+04,2.00E+04,8.62E+04,9.64E+03,1.72E+04,,,,,,
1986,1.80E+04,9.29E+03,3.18E+04,2.83E+03,5.80E+03,,,,,,
1987,1.64E+04,9.51E+03,2.64E+04,2.16E+03,4.33E+03,,,,,,
1988,1.71E+04,9.97E+03,2.73E+04,2.17E+03,4.46E+03,,,,,,
1989,2.79E+04,1.88E+04,4.00E+04,3.24E+03,5.42E+03,,,,,,
1990,2.61E+04,1.36E+04,4.54E+04,3.83E+03,8.21E+03,,,,,,
1991,1.16E+04,7.87E+03,1.65E+04,1.15E+03,2.20E+03,,,,,,
1992,1.10E+04,7.38E+03,1.57E+04,9.92E+02,2.13E+03,,,,,,
1993,5.66E+04,2.65E+04,1.07E+05,1.30E+04,2.07E+04,,,,,,
1994,2.51E+04,1.43E+04,4.10E+04,3.94E+03,6.86E+03,,,,,,
1995,1.05E+04,7.01E+03,1.51E+04,1.01E+03,2.08E+03,,,,,,
1996,1.10E+05,2.81E+04,3.00E+05,3.80E+04,7.31E+04,,,,,,
1997,1.51E+04,7.32E+03,2.77E+04,2.10E+03,5.27E+03,,,,,,
1998,1.95E+04,1.26E+04,2.90E+04,2.56E+03,4.21E+03,,,,,,
1999,5.94E+03,3.69E+03,9.07E+03,5.96E+02,1.38E+03,,,,,,
2000,6.33E+03,3.72E+03,1.01E+04,6.12E+02,1.64E+03,,,,,,
2001,5.17E+03,3.44E+03,7.47E+03,4.77E+02,1.03E+03,,,,,,
2002,6.01E+03,4.17E+03,8.39E+03,5.83E+02,1.08E+03,,,,,,
2003,2.90E+04,1.76E+04,4.53E+04,4.79E+03,7.12E+03,,,,,,
2004,2.43E+04,1.02E+04,4.92E+04,5.22E+03,1.01E+04,,,,,,
