CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,8.35E+04,2.49E+04,2.08E+05,4.17E+04,4.87E+04,,,,,,
1986,9.88E+03,7.21E+03,1.32E+04,1.39E+03,1.53E+03,,,,,,
1987,4.71E+04,2.49E+04,8.14E+04,1.24E+04,1.46E+04,,,,,,
1988,1.36E+04,1.06E+04,1.73E+04,1.37E+03,1.70E+03,,,,,,
1989,4.39E+04,2.59E+04,6.99E+04,9.20E+03,1.13E+04,,,,,,
1990,4.66E+04,2.42E+04,8.16E+04,1.18E+04,1.48E+04,,,,,,
1991,1.80E+04,1.39E+04,2.29E+04,1.75E+03,2.31E+03,,,,,,
1992,4.40E+04,2.63E+04,6.94E+04,9.29E+03,1.11E+04,,,,,,
1993,4.73E+04,2.55E+04,8.04E+04,1.19E+04,1.42E+04,,,,,,
1994,2.41E+04,1.82E+04,3.13E+04,2.86E+03,3.37E+03,,,,,,
1995,1.09E+05,2.77E+04,2.99E+05,6.29E+04,7.31E+04,,,,,,
1996,9.31E+04,3.32E+04,2.09E+05,3.93E+04,4.63E+04,,,,,,
1997,1.65E+04,1.23E+04,2.18E+04,1.76E+03,2.43E+03,,,,,,
1998,4.92E+04,2.58E+04,8.54E+04,1.38E+04,1.54E+04,,,,,,
1999,2.29E+04,7.83E+03,5.27E+04,8.07E+03,1.18E+04,,,,,,
2000,6.25E+03,5.21E+03,7.44E+03,4.65E+02,5.69E+02,,,,,,
2001,6.56E+03,5.04E+03,8.39E+03,6.09E+02,8.57E+02,,,,,,
2002,3.75E+03,2.93E+03,4.72E+03,3.80E+02,4.57E+02,,,,,,
2003,4.65E+04,2.12E+04,8.92E+04,1.46E+04,1.76E+04,,,,,,
2004,1.74E+04,1.04E+04,2.76E+04,3.60E+03,4.41E+03,,,,,,
