CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,4.35E+04,2.92E+04,6.24E+04,4.70E+03,8.50E+03,,,,,,
1986,1.32E+04,1.06E+04,1.63E+04,1.15E+03,1.46E+03,,,,,,
1987,3.37E+04,2.59E+04,4.31E+04,2.34E+03,4.40E+03,,,,,,
1988,1.45E+04,1.18E+04,1.75E+04,8.24E+02,1.46E+03,,,,,,
1989,3.41E+04,2.72E+04,4.23E+04,1.66E+03,3.84E+03,,,,,,
1990,3.09E+04,2.59E+04,3.67E+04,1.23E+03,2.75E+03,,,,,,
1991,1.58E+04,1.30E+04,1.89E+04,6.11E+02,1.51E+03,,,,,,
1992,3.20E+04,2.62E+04,3.87E+04,1.28E+03,3.20E+03,,,,,,
1993,4.05E+04,3.20E+04,5.05E+04,2.07E+03,4.73E+03,,,,,,
1994,3.27E+04,2.72E+04,3.89E+04,1.38E+03,2.98E+03,,,,,,
1995,3.25E+04,2.36E+04,4.36E+04,1.75E+03,5.12E+03,,,,,,
1996,6.81E+04,5.35E+04,8.54E+04,3.76E+03,8.14E+03,,,,,,
1997,1.91E+04,1.55E+04,2.33E+04,7.40E+02,1.98E+03,,,,,,
1998,4.14E+04,3.30E+04,5.14E+04,2.37E+03,4.72E+03,,,,,,
1999,1.42E+04,1.04E+04,1.89E+04,5.96E+02,2.18E+03,,,,,,
2000,1.15E+04,1.00E+04,1.31E+04,4.64E+02,7.73E+02,,,,,,
2001,1.40E+04,1.15E+04,1.68E+04,6.30E+02,1.35E+03,,,,,,
2002,1.13E+04,9.10E+03,1.39E+04,6.45E+02,1.21E+03,,,,,,
2003,8.71E+04,7.12E+04,1.06E+05,6.23E+03,8.76E+03,,,,,,
2004,4.09E+04,3.19E+04,5.16E+04,3.34E+03,5.04E+03,,,,,,
