CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,2.80E+06,2.15E+06,3.57E+06,2.03E+05,3.62E+05,,,,,,
1986,9.75E+05,8.39E+05,1.13E+06,5.60E+04,7.34E+04,,,,,,
1987,2.32E+06,1.92E+06,2.77E+06,1.10E+05,2.16E+05,,,,,,
1988,1.06E+06,9.19E+05,1.21E+06,4.01E+04,7.55E+04,,,,,,
1989,2.30E+06,1.91E+06,2.73E+06,8.09E+04,2.10E+05,,,,,,
1990,2.00E+06,1.79E+06,2.24E+06,5.35E+04,1.14E+05,,,,,,
1991,1.17E+06,1.02E+06,1.34E+06,3.22E+04,8.12E+04,,,,,,
1992,2.13E+06,1.84E+06,2.44E+06,6.07E+04,1.53E+05,,,,,,
1993,3.22E+06,2.71E+06,3.79E+06,1.23E+05,2.76E+05,,,,,,
1994,2.48E+06,2.17E+06,2.81E+06,7.88E+04,1.63E+05,,,,,,
1995,2.13E+06,1.70E+06,2.63E+06,8.16E+04,2.38E+05,,,,,,
1996,4.39E+06,3.75E+06,5.10E+06,1.64E+05,3.45E+05,,,,,,
1997,1.34E+06,1.17E+06,1.52E+06,3.66E+04,8.84E+04,,,,,,
1998,3.50E+06,2.97E+06,4.11E+06,1.47E+05,2.92E+05,,,,,,
1999,8.88E+05,7.36E+05,1.06E+06,2.46E+04,8.34E+04,,,,,,
2000,7.54E+05,6.86E+05,8.27E+05,2.17E+04,3.60E+04,,,,,,
2001,1.01E+06,8.68E+05,1.16E+06,3.25E+04,7.53E+04,,,,,,
2002,7.24E+05,6.27E+05,8.31E+05,2.89E+04,5.22E+04,,,,,,
2003,5.82E+06,5.07E+06,6.65E+06,2.89E+05,4.04E+05,,,,,,
2004,2.65E+06,2.25E+06,3.10E+06,1.50E+05,2.16E+05,,,,,,
