CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,5.32E+05,4.27E+05,6.56E+05,3.77E+04,5.87E+04,,,,,,
1986,4.53E+05,3.67E+05,5.53E+05,2.69E+04,4.73E+04,,,,,,
1987,3.54E+05,2.87E+05,4.33E+05,1.75E+04,3.74E+04,,,,,,
1988,2.81E+05,2.27E+05,3.44E+05,1.21E+04,2.99E+04,,,,,,
1989,5.53E+05,4.51E+05,6.71E+05,2.85E+04,5.62E+04,,,,,,
1990,3.71E+05,3.14E+05,4.36E+05,1.68E+04,3.13E+04,,,,,,
1991,2.06E+05,1.74E+05,2.42E+05,8.89E+03,1.75E+04,,,,,,
1992,1.52E+05,1.29E+05,1.78E+05,6.83E+03,1.23E+04,,,,,,
1993,4.39E+05,3.50E+05,5.43E+05,2.50E+04,4.92E+04,,,,,,
1994,3.65E+05,2.92E+05,4.49E+05,1.96E+04,4.01E+04,,,,,,
1995,1.97E+05,1.64E+05,2.35E+05,9.26E+03,1.80E+04,,,,,,
1996,6.67E+05,5.43E+05,8.10E+05,3.82E+04,6.82E+04,,,,,,
1997,2.69E+05,2.16E+05,3.31E+05,1.20E+04,2.94E+04,,,,,,
1998,3.49E+05,2.92E+05,4.13E+05,1.58E+04,3.11E+04,,,,,,
1999,1.73E+05,1.47E+05,2.04E+05,7.02E+03,1.45E+04,,,,,,
2000,1.88E+05,1.60E+05,2.20E+05,7.90E+03,1.55E+04,,,,,,
2001,1.49E+05,1.25E+05,1.77E+05,6.73E+03,1.32E+04,,,,,,
2002,2.23E+05,1.87E+05,2.64E+05,1.03E+04,1.95E+04,,,,,,
2003,7.75E+05,6.48E+05,9.19E+05,4.48E+04,6.93E+04,,,,,,
2004,8.37E+05,6.35E+05,1.08E+06,6.32E+04,1.15E+05,,,,,,
