CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1986,3.77E+06,3.51E+06,4.05E+06,1.11E+05,1.39E+05,,,,,,
1987,3.36E+06,3.14E+06,3.58E+06,8.55E+04,1.12E+05,,,,,,
1988,3.47E+06,3.26E+06,3.68E+06,7.53E+04,1.09E+05,,,,,,
1989,4.09E+06,3.86E+06,4.33E+06,8.13E+04,1.19E+05,,,,,,
1990,3.60E+06,3.40E+06,3.81E+06,7.07E+04,1.03E+05,,,,,,
1991,2.60E+06,2.45E+06,2.76E+06,5.53E+04,8.01E+04,,,,,,
1992,2.37E+06,2.23E+06,2.52E+06,5.28E+04,7.36E+04,,,,,,
1993,4.31E+06,4.06E+06,4.58E+06,8.24E+04,1.33E+05,,,,,,
1994,4.47E+06,4.21E+06,4.74E+06,8.71E+04,1.35E+05,,,,,,
1995,3.06E+06,2.88E+06,3.24E+06,6.39E+04,9.33E+04,,,,,,
1996,5.70E+06,5.38E+06,6.02E+06,1.08E+05,1.64E+05,,,,,,
1997,2.82E+06,2.66E+06,2.99E+06,5.61E+04,8.45E+04,,,,,,
1998,3.68E+06,3.47E+06,3.89E+06,6.56E+04,1.06E+05,,,,,,
1999,2.97E+06,2.80E+06,3.15E+06,5.10E+04,8.89E+04,,,,,,
2000,3.33E+06,3.15E+06,3.52E+06,5.27E+04,9.47E+04,,,,,,
2001,2.22E+06,2.09E+06,2.35E+06,4.29E+04,6.67E+04,,,,,,
2002,2.36E+06,2.21E+06,2.52E+06,4.80E+04,7.84E+04,,,,,,
2003,6.24E+06,5.88E+06,6.61E+06,1.36E+05,1.86E+05,,,,,,
2004,5.82E+06,5.44E+06,6.21E+06,1.56E+05,1.97E+05,,,,,,
