CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,3.12E+06,2.63E+06,3.67E+06,2.02E+05,2.67E+05,,,,,,
1986,4.78E+06,3.98E+06,5.69E+06,2.66E+05,4.36E+05,,,,,,
1987,2.81E+06,2.43E+06,3.24E+06,1.20E+05,2.06E+05,,,,,,
1988,2.05E+06,1.77E+06,2.36E+06,7.24E+04,1.52E+05,,,,,,
1989,3.83E+06,3.33E+06,4.38E+06,1.28E+05,2.66E+05,,,,,,
1990,4.26E+06,3.79E+06,4.77E+06,1.29E+05,2.49E+05,,,,,,
1991,1.96E+06,1.72E+06,2.23E+06,5.67E+04,1.31E+05,,,,,,
1992,2.33E+06,2.10E+06,2.58E+06,6.74E+04,1.21E+05,,,,,,
1993,5.92E+06,4.93E+06,7.06E+06,2.60E+05,5.45E+05,,,,,,
1994,5.10E+06,4.38E+06,5.91E+06,1.81E+05,3.91E+05,,,,,,
1995,1.75E+06,1.54E+06,1.99E+06,5.42E+04,1.15E+05,,,,,,
1996,7.09E+06,6.01E+06,8.31E+06,2.88E+05,5.88E+05,,,,,,
1997,1.74E+06,1.56E+06,1.94E+06,5.43E+04,9.64E+04,,,,,,
1998,3.60E+06,3.12E+06,4.13E+06,1.12E+05,2.60E+05,,,,,,
1999,1.80E+06,1.57E+06,2.05E+06,5.12E+04,1.21E+05,,,,,,
2000,2.68E+06,2.38E+06,3.01E+06,7.62E+04,1.61E+05,,,,,,
2001,1.61E+06,1.41E+06,1.82E+06,4.97E+04,1.04E+05,,,,,,
2002,2.64E+06,2.34E+06,2.97E+06,8.58E+04,1.63E+05,,,,,,
2003,6.60E+06,5.82E+06,7.46E+06,2.69E+05,4.18E+05,,,,,,
2004,7.94E+06,6.27E+06,9.92E+06,4.63E+05,9.33E+05,,,,,,
