CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,5.72E+07,5.40E+07,6.06E+07,1.34E+06,1.69E+06,,,,,,
1986,7.56E+07,7.18E+07,7.96E+07,1.40E+06,1.99E+06,,,,,,
1987,5.68E+07,5.43E+07,5.93E+07,8.34E+05,1.29E+06,,,,,,
1988,4.65E+07,4.45E+07,4.86E+07,6.10E+05,1.03E+06,,,,,,
1989,6.46E+07,6.20E+07,6.73E+07,7.39E+05,1.36E+06,,,,,,
1990,8.13E+07,7.81E+07,8.47E+07,1.11E+06,1.70E+06,,,,,,
1991,4.98E+07,4.75E+07,5.22E+07,7.44E+05,1.21E+06,,,,,,
1992,5.64E+07,5.40E+07,5.89E+07,8.94E+05,1.25E+06,,,,,,
1993,8.33E+07,7.90E+07,8.78E+07,1.27E+06,2.23E+06,,,,,,
1994,7.97E+07,7.59E+07,8.36E+07,1.21E+06,1.97E+06,,,,,,
1995,4.33E+07,4.12E+07,4.54E+07,7.63E+05,1.08E+06,,,,,,
1996,9.78E+07,9.31E+07,1.03E+08,1.57E+06,2.42E+06,,,,,,
1997,4.46E+07,4.25E+07,4.67E+07,7.70E+05,1.07E+06,,,,,,
1998,6.15E+07,5.85E+07,6.46E+07,9.54E+05,1.55E+06,,,,,,
1999,3.94E+07,3.75E+07,4.13E+07,6.48E+05,9.74E+05,,,,,,
2000,4.84E+07,4.62E+07,5.07E+07,8.02E+05,1.16E+06,,,,,,
2001,3.29E+07,3.12E+07,3.46E+07,6.22E+05,8.61E+05,,,,,,
2002,4.62E+07,4.38E+07,4.87E+07,9.81E+05,1.24E+06,,,,,,
2003,8.44E+07,7.95E+07,8.96E+07,2.23E+06,2.59E+06,,,,,,
2004,9.03E+07,8.40E+07,9.69E+07,2.93E+06,3.28E+06,,,,,,
