CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,4.50E+08,3.88E+08,5.19E+08,2.02E+07,3.34E+07,,,,,,
1986,1.07E+09,8.52E+08,1.34E+09,4.45E+07,1.24E+08,,,,,,
1987,5.28E+08,4.45E+08,6.21E+08,1.50E+07,4.51E+07,,,,,,
1988,4.00E+08,3.41E+08,4.66E+08,9.65E+06,3.21E+07,,,,,,
1989,1.00E+09,8.66E+08,1.16E+09,2.82E+07,7.46E+07,,,,,,
1990,9.81E+08,8.72E+08,1.10E+09,2.81E+07,5.81E+07,,,,,,
1991,4.83E+08,4.16E+08,5.57E+08,1.39E+07,3.59E+07,,,,,,
1992,4.88E+08,4.36E+08,5.43E+08,1.50E+07,2.73E+07,,,,,,
1993,3.29E+09,2.64E+09,4.06E+09,1.42E+08,3.61E+08,,,,,,
1994,2.05E+09,1.70E+09,2.44E+09,7.33E+07,1.88E+08,,,,,,
1995,3.66E+08,3.16E+08,4.21E+08,1.26E+07,2.66E+07,,,,,,
1996,3.02E+09,2.26E+09,3.95E+09,1.41E+08,4.31E+08,,,,,,
1997,3.36E+08,3.00E+08,3.74E+08,1.14E+07,1.88E+07,,,,,,
1998,9.97E+08,8.34E+08,1.18E+09,3.18E+07,8.90E+07,,,,,,
1999,3.22E+08,2.70E+08,3.81E+08,1.02E+07,2.83E+07,,,,,,
2000,4.67E+08,4.08E+08,5.32E+08,1.57E+07,3.14E+07,,,,,,
2001,2.30E+08,2.01E+08,2.62E+08,8.69E+06,1.57E+07,,,,,,
2002,4.09E+08,3.51E+08,4.73E+08,1.81E+07,3.10E+07,,,,,,
2003,1.13E+09,9.68E+08,1.31E+09,6.25E+07,8.68E+07,,,,,,
2004,2.13E+09,1.48E+09,2.95E+09,1.82E+08,3.76E+08,,,,,,
