CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1989,8.52E+08,5.11E+08,1.34E+09,9.05E+07,2.12E+08,,,,,,
1990,1.27E+09,6.72E+08,2.20E+09,1.26E+08,3.95E+08,,,,,,
1991,3.70E+08,2.30E+08,5.64E+08,2.72E+07,8.57E+07,,,,,,
1992,5.76E+08,4.11E+08,7.87E+08,3.61E+07,9.63E+07,,,,,,
1993,4.33E+09,2.39E+09,7.23E+09,5.09E+08,1.25E+09,,,,,,
1994,1.94E+09,1.28E+09,2.82E+09,1.58E+08,3.96E+08,,,,,,
1995,2.85E+08,1.56E+08,4.79E+08,2.08E+07,8.31E+07,,,,,,
1996,3.45E+09,1.84E+09,5.93E+09,3.90E+08,1.05E+09,,,,,,
1997,2.55E+08,1.83E+08,3.46E+08,1.78E+07,4.17E+07,,,,,,
1998,1.14E+09,6.81E+08,1.80E+09,9.26E+07,2.87E+08,,,,,,
1999,3.08E+08,1.59E+08,5.43E+08,2.22E+07,9.92E+07,,,,,,
2000,1.12E+09,7.27E+08,1.65E+09,8.22E+07,2.37E+08,,,,,,
2001,5.76E+08,3.19E+08,9.60E+08,4.48E+07,1.65E+08,,,,,,
2002,5.63E+08,3.73E+08,8.18E+08,3.79E+07,1.14E+08,,,,,,
2003,1.28E+09,8.90E+08,1.79E+09,1.04E+08,2.30E+08,,,,,,
2004,2.03E+09,8.37E+08,4.18E+09,2.79E+08,8.70E+08,,,,,,
