CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.08E+07,9.51E+06,1.23E+07,6.18E+05,7.18E+05,,,,,,
1986,1.57E+07,1.41E+07,1.76E+07,7.39E+05,8.95E+05,,,,,,
1987,1.14E+07,1.03E+07,1.26E+07,4.57E+05,5.86E+05,,,,,,
1988,9.48E+06,8.60E+06,1.04E+07,3.50E+05,4.61E+05,,,,,,
1989,1.12E+07,1.03E+07,1.23E+07,3.49E+05,4.98E+05,,,,,,
1990,1.80E+07,1.65E+07,1.96E+07,5.98E+05,7.98E+05,,,,,,
1991,1.15E+07,1.04E+07,1.26E+07,3.87E+05,5.51E+05,,,,,,
1992,1.36E+07,1.25E+07,1.48E+07,4.57E+05,5.90E+05,,,,,,
1993,1.43E+07,1.30E+07,1.58E+07,5.04E+05,7.25E+05,,,,,,
1994,1.56E+07,1.42E+07,1.70E+07,5.19E+05,7.15E+05,,,,,,
1995,9.51E+06,8.64E+06,1.04E+07,3.35E+05,4.61E+05,,,,,,
1996,1.87E+07,1.71E+07,2.05E+07,6.41E+05,8.64E+05,,,,,,
1997,9.08E+06,8.28E+06,9.94E+06,3.03E+05,4.22E+05,,,,,,
1998,1.31E+07,1.19E+07,1.43E+07,3.88E+05,6.00E+05,,,,,,
1999,9.34E+06,8.54E+06,1.02E+07,2.70E+05,4.23E+05,,,,,,
2000,1.30E+07,1.20E+07,1.40E+07,3.14E+05,5.10E+05,,,,,,
2001,7.62E+06,6.98E+06,8.31E+06,1.97E+05,3.40E+05,,,,,,
2002,1.10E+07,1.02E+07,1.19E+07,2.80E+05,4.25E+05,,,,,,
2003,1.58E+07,1.46E+07,1.71E+07,4.54E+05,6.37E+05,,,,,,
2004,1.38E+07,1.26E+07,1.50E+07,4.90E+05,6.24E+05,,,,,,
