CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.66E+07,1.55E+07,1.77E+07,4.48E+05,5.70E+05,,,,,,
1986,2.60E+07,2.44E+07,2.77E+07,5.81E+05,8.38E+05,,,,,,
1987,1.84E+07,1.74E+07,1.94E+07,3.28E+05,5.21E+05,,,,,,
1988,1.47E+07,1.40E+07,1.55E+07,2.34E+05,3.83E+05,,,,,,
1989,2.01E+07,1.90E+07,2.11E+07,2.78E+05,5.29E+05,,,,,,
1990,2.80E+07,2.67E+07,2.94E+07,4.06E+05,6.78E+05,,,,,,
1991,1.69E+07,1.61E+07,1.79E+07,2.58E+05,4.64E+05,,,,,,
1992,2.09E+07,1.99E+07,2.19E+07,3.28E+05,4.99E+05,,,,,,
1993,2.72E+07,2.55E+07,2.91E+07,4.83E+05,9.09E+05,,,,,,
1994,2.75E+07,2.60E+07,2.90E+07,4.36E+05,7.64E+05,,,,,,
1995,1.39E+07,1.32E+07,1.46E+07,2.40E+05,3.82E+05,,,,,,
1996,3.19E+07,3.02E+07,3.37E+07,5.27E+05,8.91E+05,,,,,,
1997,1.32E+07,1.25E+07,1.39E+07,2.29E+05,3.55E+05,,,,,,
1998,2.10E+07,1.99E+07,2.22E+07,3.16E+05,5.92E+05,,,,,,
1999,1.34E+07,1.27E+07,1.42E+07,2.07E+05,3.76E+05,,,,,,
2000,2.07E+07,1.97E+07,2.18E+07,2.83E+05,5.27E+05,,,,,,
2001,1.18E+07,1.12E+07,1.25E+07,1.76E+05,3.43E+05,,,,,,
2002,1.62E+07,1.55E+07,1.70E+07,2.48E+05,4.02E+05,,,,,,
2003,2.48E+07,2.35E+07,2.61E+07,4.50E+05,6.66E+05,,,,,,
2004,2.14E+07,2.01E+07,2.26E+07,4.72E+05,6.38E+05,,,,,,
