CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.35E+06,1.13E+06,1.59E+06,8.23E+04,1.19E+05,,,,,,
1986,2.44E+06,1.99E+06,2.94E+06,1.30E+05,2.43E+05,,,,,,
1987,1.40E+06,1.19E+06,1.64E+06,5.73E+04,1.15E+05,,,,,,
1988,9.57E+05,8.28E+05,1.10E+06,3.31E+04,6.98E+04,,,,,,
1989,1.70E+06,1.44E+06,1.99E+06,5.93E+04,1.40E+05,,,,,,
1990,2.15E+06,1.86E+06,2.47E+06,7.44E+04,1.57E+05,,,,,,
1991,1.01E+06,8.63E+05,1.17E+06,3.22E+04,7.83E+04,,,,,,
1992,1.32E+06,1.17E+06,1.49E+06,4.41E+04,8.05E+04,,,,,,
1993,2.63E+06,2.10E+06,3.24E+06,1.33E+05,2.92E+05,,,,,,
1994,2.22E+06,1.88E+06,2.60E+06,8.57E+04,1.84E+05,,,,,,
1995,7.79E+05,6.70E+05,9.01E+05,2.77E+04,5.90E+04,,,,,,
1996,2.76E+06,2.30E+06,3.28E+06,1.20E+05,2.52E+05,,,,,,
1997,6.74E+05,5.91E+05,7.65E+05,2.39E+04,4.45E+04,,,,,,
1998,1.47E+06,1.24E+06,1.73E+06,5.08E+04,1.25E+05,,,,,,
1999,7.67E+05,6.50E+05,9.00E+05,2.47E+04,6.39E+04,,,,,,
2000,1.48E+06,1.28E+06,1.71E+06,4.72E+04,1.10E+05,,,,,,
2001,7.63E+05,6.40E+05,9.01E+05,2.56E+04,6.66E+04,,,,,,
2002,1.16E+06,1.01E+06,1.32E+06,4.09E+04,8.02E+04,,,,,,
2003,2.29E+06,1.96E+06,2.65E+06,1.02E+05,1.74E+05,,,,,,
2004,2.30E+06,1.80E+06,2.89E+06,1.36E+05,2.78E+05,,,,,,
