CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.11E+07,1.03E+07,1.20E+07,3.46E+05,4.39E+05,,,,,,
1986,1.35E+07,1.26E+07,1.45E+07,3.46E+05,4.81E+05,,,,,,
1987,9.86E+06,9.30E+06,1.04E+07,2.02E+05,2.94E+05,,,,,,
1988,8.30E+06,7.81E+06,8.82E+06,1.46E+05,2.59E+05,,,,,,
1989,1.10E+07,1.04E+07,1.17E+07,1.75E+05,3.31E+05,,,,,,
1990,1.43E+07,1.36E+07,1.51E+07,2.41E+05,3.88E+05,,,,,,
1991,8.35E+06,7.83E+06,8.90E+06,1.45E+05,2.71E+05,,,,,,
1992,1.03E+07,9.75E+06,1.08E+07,1.91E+05,2.76E+05,,,,,,
1993,1.57E+07,1.46E+07,1.68E+07,3.07E+05,5.73E+05,,,,,,
1994,1.51E+07,1.42E+07,1.61E+07,2.79E+05,4.90E+05,,,,,,
1995,7.76E+06,7.30E+06,8.25E+06,1.53E+05,2.43E+05,,,,,,
1996,1.76E+07,1.65E+07,1.88E+07,3.45E+05,5.98E+05,,,,,,
1997,8.43E+06,7.95E+06,8.93E+06,1.64E+05,2.52E+05,,,,,,
1998,1.03E+07,9.63E+06,1.10E+07,1.86E+05,3.49E+05,,,,,,
1999,7.59E+06,7.13E+06,8.07E+06,1.38E+05,2.39E+05,,,,,,
2000,7.85E+06,7.40E+06,8.31E+06,1.38E+05,2.30E+05,,,,,,
2001,6.24E+06,5.89E+06,6.61E+06,1.17E+05,1.83E+05,,,,,,
2002,8.61E+06,8.11E+06,9.12E+06,1.57E+05,2.57E+05,,,,,,
2003,1.44E+07,1.35E+07,1.52E+07,3.05E+05,4.40E+05,,,,,,
2004,1.47E+07,1.37E+07,1.58E+07,3.84E+05,5.32E+05,,,,,,
