CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.75E+04,1.51E+04,2.01E+04,1.04E+03,1.29E+03,,,,,,
1986,1.50E+04,1.32E+04,1.69E+04,7.39E+02,9.51E+02,,,,,,
1987,1.67E+04,1.49E+04,1.86E+04,6.47E+02,9.46E+02,,,,,,
1988,1.51E+04,1.36E+04,1.67E+04,5.07E+02,7.94E+02,,,,,,
1989,2.01E+04,1.79E+04,2.26E+04,7.03E+02,1.22E+03,,,,,,
1990,1.49E+04,1.34E+04,1.64E+04,4.83E+02,7.67E+02,,,,,,
1991,1.07E+04,9.62E+03,1.19E+04,3.76E+02,5.77E+02,,,,,,
1992,1.05E+04,9.40E+03,1.17E+04,3.73E+02,6.00E+02,,,,,,
1993,1.28E+04,1.14E+04,1.44E+04,4.52E+02,7.59E+02,,,,,,
1994,1.23E+04,1.10E+04,1.37E+04,4.33E+02,6.82E+02,,,,,,
1995,9.11E+03,8.12E+03,1.02E+04,3.40E+02,5.27E+02,,,,,,
1996,1.77E+04,1.57E+04,1.99E+04,6.96E+02,1.08E+03,,,,,,
1997,9.96E+03,8.93E+03,1.11E+04,3.62E+02,5.47E+02,,,,,,
1998,9.79E+03,8.72E+03,1.10E+04,3.82E+02,5.74E+02,,,,,,
1999,8.54E+03,7.31E+03,9.91E+03,3.67E+02,6.62E+02,,,,,,
2000,8.73E+03,7.69E+03,9.87E+03,4.22E+02,5.54E+02,,,,,,
2001,8.16E+03,7.08E+03,9.35E+03,4.71E+02,5.80E+02,,,,,,
2002,6.88E+03,5.82E+03,8.08E+03,4.99E+02,5.75E+02,,,,,,
2003,1.80E+04,1.46E+04,2.19E+04,1.63E+03,1.85E+03,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
