CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,7.46E+04,6.34E+04,8.71E+04,3.84E+03,6.06E+03,,,,,,
1986,5.64E+04,4.95E+04,6.41E+04,2.34E+03,3.71E+03,,,,,,
1987,7.05E+04,6.26E+04,7.91E+04,2.41E+03,4.20E+03,,,,,,
1988,6.18E+04,5.53E+04,6.88E+04,1.84E+03,3.45E+03,,,,,,
1989,1.03E+05,8.87E+04,1.19E+05,3.50E+03,7.69E+03,,,,,,
1990,6.01E+04,5.43E+04,6.64E+04,1.65E+03,3.07E+03,,,,,,
1991,3.55E+04,3.16E+04,3.98E+04,9.87E+02,2.10E+03,,,,,,
1992,3.51E+04,3.07E+04,4.00E+04,9.84E+02,2.36E+03,,,,,,
1993,5.43E+04,4.73E+04,6.20E+04,1.77E+03,3.76E+03,,,,,,
1994,5.02E+04,4.46E+04,5.63E+04,1.55E+03,2.97E+03,,,,,,
1995,3.02E+04,2.66E+04,3.42E+04,9.14E+02,1.94E+03,,,,,,
1996,9.01E+04,7.96E+04,1.02E+05,3.20E+03,5.64E+03,,,,,,
1997,3.82E+04,3.42E+04,4.26E+04,1.13E+03,2.15E+03,,,,,,
1998,4.10E+04,3.62E+04,4.63E+04,1.35E+03,2.58E+03,,,,,,
1999,3.41E+04,2.68E+04,4.27E+04,1.29E+03,4.07E+03,,,,,,
2000,3.45E+04,3.07E+04,3.86E+04,1.19E+03,2.03E+03,,,,,,
2001,3.30E+04,2.90E+04,3.74E+04,1.34E+03,2.14E+03,,,,,,
2002,2.55E+04,2.21E+04,2.93E+04,1.27E+03,1.84E+03,,,,,,
2003,1.33E+05,1.13E+05,1.57E+05,8.81E+03,1.13E+04,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
