CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.66E+07,1.08E+07,2.46E+07,1.08E+06,3.54E+06,,,,,,
1986,1.13E+07,8.41E+06,1.50E+07,5.44E+05,1.68E+06,,,,,,
1987,2.13E+07,1.62E+07,2.74E+07,9.28E+05,2.87E+06,,,,,,
1988,2.24E+07,1.73E+07,2.84E+07,1.00E+06,2.84E+06,,,,,,
1989,5.97E+07,4.47E+07,7.81E+07,3.53E+06,8.53E+06,,,,,,
1990,2.59E+07,2.07E+07,3.20E+07,1.17E+06,2.90E+06,,,,,,
1991,1.12E+07,8.45E+06,1.45E+07,4.96E+05,1.54E+06,,,,,,
1992,1.39E+07,1.00E+07,1.89E+07,6.80E+05,2.28E+06,,,,,,
1993,2.71E+07,2.11E+07,3.44E+07,1.47E+06,3.40E+06,,,,,,
1994,2.54E+07,2.00E+07,3.19E+07,1.31E+06,3.05E+06,,,,,,
1995,1.27E+07,9.24E+06,1.69E+07,6.64E+05,1.97E+06,,,,,,
1996,6.08E+07,4.82E+07,7.56E+07,3.58E+06,7.00E+06,,,,,,
1997,1.74E+07,1.35E+07,2.20E+07,8.49E+05,2.18E+06,,,,,,
1998,2.07E+07,1.63E+07,2.58E+07,1.12E+06,2.41E+06,,,,,,
1999,1.74E+07,9.34E+06,2.96E+07,1.36E+06,5.22E+06,,,,,,
2000,1.47E+07,1.14E+07,1.88E+07,7.94E+05,1.88E+06,,,,,,
2001,1.50E+07,1.09E+07,2.01E+07,9.69E+05,2.37E+06,,,,,,
2002,7.26E+06,5.31E+06,9.70E+06,5.16E+05,1.12E+06,,,,,,
2003,8.13E+07,6.14E+07,1.06E+08,7.96E+06,1.13E+07,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
