CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,3.79E+03,3.13E+03,4.56E+03,3.41E+02,3.67E+02,,,,,,
1986,2.66E+03,2.25E+03,3.12E+03,2.03E+02,2.22E+02,,,,,,
1987,5.52E+03,4.79E+03,6.32E+03,3.41E+02,3.91E+02,,,,,,
1988,3.63E+03,3.21E+03,4.08E+03,1.84E+02,2.21E+02,,,,,,
1989,7.18E+03,6.50E+03,7.92E+03,2.84E+02,3.63E+02,,,,,,
1990,6.86E+03,6.22E+03,7.55E+03,2.29E+02,3.37E+02,,,,,,
1991,2.93E+03,2.66E+03,3.22E+03,9.29E+01,1.44E+02,,,,,,
1992,4.59E+03,4.22E+03,4.98E+03,1.21E+02,1.93E+02,,,,,,
1993,8.72E+03,7.96E+03,9.53E+03,2.52E+02,3.99E+02,,,,,,
1994,9.22E+03,8.39E+03,1.01E+04,2.75E+02,4.41E+02,,,,,,
1995,5.07E+03,4.67E+03,5.50E+03,1.38E+02,2.12E+02,,,,,,
1996,1.12E+04,1.03E+04,1.22E+04,3.40E+02,4.75E+02,,,,,,
1997,6.69E+03,6.16E+03,7.25E+03,1.82E+02,2.78E+02,,,,,,
1998,8.84E+03,7.97E+03,9.77E+03,3.01E+02,4.59E+02,,,,,,
1999,3.16E+03,2.87E+03,3.47E+03,8.34E+01,1.53E+02,,,,,,
2000,4.30E+03,3.94E+03,4.68E+03,1.29E+02,1.90E+02,,,,,,
2001,3.00E+03,2.71E+03,3.32E+03,1.02E+02,1.56E+02,,,,,,
2002,1.51E+03,1.35E+03,1.68E+03,6.16E+01,8.58E+01,,,,,,
2003,9.07E+03,8.06E+03,1.02E+04,4.56E+02,5.38E+02,,,,,,
2004,6.20E+03,5.43E+03,7.04E+03,3.67E+02,4.12E+02,,,,,,
