CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,3.00E+04,2.61E+04,3.44E+04,1.90E+03,2.13E+03,,,,,,
1986,1.65E+04,1.46E+04,1.86E+04,8.79E+02,1.00E+03,,,,,,
1987,3.40E+04,3.06E+04,3.77E+04,1.48E+03,1.80E+03,,,,,,
1988,1.84E+04,1.68E+04,2.02E+04,6.56E+02,8.52E+02,,,,,,
1989,3.45E+04,3.20E+04,3.72E+04,9.80E+02,1.33E+03,,,,,,
1990,3.23E+04,2.98E+04,3.49E+04,8.00E+02,1.30E+03,,,,,,
1991,1.19E+04,1.10E+04,1.29E+04,2.81E+02,4.96E+02,,,,,,
1992,1.69E+04,1.58E+04,1.81E+04,3.46E+02,5.90E+02,,,,,,
1993,3.85E+04,3.57E+04,4.15E+04,9.03E+02,1.48E+03,,,,,,
1994,4.05E+04,3.71E+04,4.40E+04,1.04E+03,1.77E+03,,,,,,
1995,1.78E+04,1.66E+04,1.90E+04,3.82E+02,6.14E+02,,,,,,
1996,4.65E+04,4.33E+04,4.98E+04,1.13E+03,1.64E+03,,,,,,
1997,2.53E+04,2.36E+04,2.70E+04,5.38E+02,8.49E+02,,,,,,
1998,4.17E+04,3.82E+04,4.55E+04,1.19E+03,1.88E+03,,,,,,
1999,1.19E+04,1.09E+04,1.29E+04,2.47E+02,5.14E+02,,,,,,
2000,1.58E+04,1.47E+04,1.70E+04,3.73E+02,5.69E+02,,,,,,
2001,1.17E+04,1.07E+04,1.27E+04,3.17E+02,5.10E+02,,,,,,
2002,6.51E+03,5.90E+03,7.16E+03,2.16E+02,3.20E+02,,,,,,
2003,5.44E+04,4.93E+04,5.99E+04,2.27E+03,2.70E+03,,,,,,
2004,3.69E+04,3.31E+04,4.10E+04,1.79E+03,2.02E+03,,,,,,
