CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,5.14E+04,3.35E+04,7.54E+04,9.83E+03,1.07E+04,,,,,,
1986,1.85E+04,1.42E+04,2.36E+04,2.16E+03,2.41E+03,,,,,,
1987,4.01E+04,2.87E+04,5.46E+04,6.04E+03,6.65E+03,,,,,,
1988,1.50E+04,1.19E+04,1.87E+04,1.40E+03,1.74E+03,,,,,,
1989,2.65E+04,2.02E+04,3.40E+04,3.11E+03,3.53E+03,,,,,,
1990,2.21E+04,1.63E+04,2.94E+04,2.93E+03,3.34E+03,,,,,,
1991,8.44E+03,6.48E+03,1.08E+04,8.23E+02,1.11E+03,,,,,,
1992,7.39E+03,6.12E+03,8.84E+03,5.28E+02,6.93E+02,,,,,,
1993,2.08E+04,1.42E+04,2.94E+04,3.61E+03,3.90E+03,,,,,,
1994,1.86E+04,1.22E+04,2.72E+04,3.55E+03,3.84E+03,,,,,,
1995,1.03E+04,7.71E+03,1.34E+04,1.22E+03,1.47E+03,,,,,,
1996,2.16E+04,1.54E+04,2.94E+04,3.32E+03,3.56E+03,,,,,,
1997,9.55E+03,7.76E+03,1.16E+04,8.44E+02,9.86E+02,,,,,,
1998,1.73E+04,1.10E+04,2.60E+04,3.63E+03,3.84E+03,,,,,,
1999,3.14E+03,2.50E+03,3.88E+03,2.35E+02,3.52E+02,,,,,,
2000,4.03E+03,3.34E+03,4.82E+03,2.94E+02,3.79E+02,,,,,,
2001,3.54E+03,2.71E+03,4.54E+03,3.53E+02,4.68E+02,,,,,,
2002,1.33E+03,1.07E+03,1.64E+03,1.26E+02,1.47E+02,,,,,,
2003,2.28E+04,1.51E+04,3.29E+04,4.37E+03,4.56E+03,,,,,,
2004,9.79E+03,7.30E+03,1.28E+04,1.33E+03,1.42E+03,,,,,,
