CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.36E+04,1.12E+04,1.64E+04,1.19E+03,1.34E+03,,,,,,
1986,9.18E+03,7.83E+03,1.07E+04,6.66E+02,7.31E+02,,,,,,
1987,1.44E+04,1.26E+04,1.65E+04,8.44E+02,1.00E+03,,,,,,
1988,9.72E+03,8.62E+03,1.09E+04,4.70E+02,5.83E+02,,,,,,
1989,1.64E+04,1.48E+04,1.81E+04,6.34E+02,8.54E+02,,,,,,
1990,1.53E+04,1.38E+04,1.68E+04,4.89E+02,7.70E+02,,,,,,
1991,9.65E+03,8.78E+03,1.06E+04,2.87E+02,4.60E+02,,,,,,
1992,1.13E+04,1.03E+04,1.23E+04,3.19E+02,5.09E+02,,,,,,
1993,1.98E+04,1.79E+04,2.18E+04,5.81E+02,1.01E+03,,,,,,
1994,2.20E+04,1.99E+04,2.43E+04,6.52E+02,1.13E+03,,,,,,
1995,1.60E+04,1.45E+04,1.75E+04,4.62E+02,7.67E+02,,,,,,
1996,2.87E+04,2.60E+04,3.15E+04,9.15E+02,1.40E+03,,,,,,
1997,1.81E+04,1.66E+04,1.97E+04,5.20E+02,8.10E+02,,,,,,
1998,2.60E+04,2.32E+04,2.91E+04,9.36E+02,1.51E+03,,,,,,
1999,1.29E+04,1.18E+04,1.42E+04,3.65E+02,6.09E+02,,,,,,
2000,1.58E+04,1.44E+04,1.72E+04,4.83E+02,7.13E+02,,,,,,
2001,1.39E+04,1.25E+04,1.53E+04,4.75E+02,7.25E+02,,,,,,
2002,1.10E+04,9.85E+03,1.23E+04,4.72E+02,6.18E+02,,,,,,
2003,4.63E+04,4.08E+04,5.24E+04,2.44E+03,2.98E+03,,,,,,
2004,3.32E+04,2.89E+04,3.80E+04,2.04E+03,2.33E+03,,,,,,
