CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,8.08E+05,7.18E+05,9.06E+05,3.90E+04,4.79E+04,,,,,,
1986,3.82E+05,3.50E+05,4.18E+05,1.50E+04,1.74E+04,,,,,,
1987,7.72E+05,7.10E+05,8.37E+05,2.48E+04,3.22E+04,,,,,,
1988,3.97E+05,3.68E+05,4.27E+05,1.04E+04,1.49E+04,,,,,,
1989,7.85E+05,7.37E+05,8.36E+05,1.68E+04,2.51E+04,,,,,,
1990,7.28E+05,6.81E+05,7.78E+05,1.33E+04,2.47E+04,,,,,,
1991,3.44E+05,3.21E+05,3.67E+05,5.48E+03,1.16E+04,,,,,,
1992,3.89E+05,3.66E+05,4.13E+05,5.97E+03,1.20E+04,,,,,,
1993,9.71E+05,9.08E+05,1.04E+06,1.77E+04,3.31E+04,,,,,,
1994,1.03E+06,9.60E+05,1.11E+06,2.02E+04,3.79E+04,,,,,,
1995,5.74E+05,5.37E+05,6.13E+05,9.50E+03,1.93E+04,,,,,,
1996,1.25E+06,1.17E+06,1.33E+06,2.37E+04,3.92E+04,,,,,,
1997,6.14E+05,5.80E+05,6.49E+05,1.01E+04,1.76E+04,,,,,,
1998,1.17E+06,1.08E+06,1.26E+06,2.79E+04,4.63E+04,,,,,,
1999,3.24E+05,3.03E+05,3.47E+05,5.04E+03,1.13E+04,,,,,,
2000,4.00E+05,3.77E+05,4.23E+05,7.09E+03,1.19E+04,,,,,,
2001,3.38E+05,3.12E+05,3.64E+05,6.74E+03,1.33E+04,,,,,,
2002,2.00E+05,1.86E+05,2.16E+05,4.80E+03,7.69E+03,,,,,,
2003,1.66E+06,1.54E+06,1.80E+06,5.23E+04,6.59E+04,,,,,,
2004,9.28E+05,8.54E+05,1.01E+06,3.29E+04,3.91E+04,,,,,,
