YEAR,MONTH,DAY,LOAD (KG/DAY),LOWER 95% CI,UPPER 95% CI,SE,SEP,Q
1985,   1,   1,   0.49155854E+03,   0.51040215E+02,   0.19810586E+04,   0.10035408E+03,   0.57947332E+03,   0.48000000E+02
1985,   1,   2,   0.82678784E+03,   0.85833274E+02,   0.33322916E+04,   0.16933578E+03,   0.97475224E+03,   0.64000000E+02
1985,   1,   3,   0.63711243E+03,   0.66155515E+02,   0.25676371E+04,   0.12999913E+03,   0.75104718E+03,   0.56000000E+02
1985,   1,   4,   0.55210219E+03,   0.57332990E+02,   0.22249720E+04,   0.11248435E+03,   0.65080535E+03,   0.52000000E+02
1985,   1,   5,   0.62680759E+03,   0.65091685E+02,   0.25260221E+04,   0.12767115E+03,   0.73886055E+03,   0.56000000E+02
1985,   1,   6,   0.54344131E+03,   0.56438372E+02,   0.21900030E+04,   0.11054591E+03,   0.64056607E+03,   0.52000000E+02
1985,   1,   7,   0.50291192E+03,   0.52231306E+02,   0.20266461E+04,   0.10222632E+03,   0.59278023E+03,   0.50000000E+02
1985,   1,   8,   0.46468514E+03,   0.48262354E+02,   0.18725825E+04,   0.94412349E+02,   0.54771495E+03,   0.48000000E+02
1985,   1,   9,   0.35327726E+03,   0.36687125E+02,   0.14236925E+04,   0.71936475E+02,   0.41642825E+03,   0.41000000E+02
1985,   1,  10,   0.36514284E+03,   0.37921615E+02,   0.14714790E+04,   0.74269708E+02,   0.43040058E+03,   0.42000000E+02
1985,   1,  11,   0.39216402E+03,   0.40731422E+02,   0.15803221E+04,   0.79636401E+02,   0.46222864E+03,   0.44000000E+02
1985,   1,  12,   0.37494831E+03,   0.38943321E+02,   0.15109474E+04,   0.76141179E+02,   0.44193727E+03,   0.43000000E+02
1985,   1,  13,   0.38741452E+03,   0.40240476E+02,   0.15611504E+04,   0.78585905E+02,   0.45661576E+03,   0.44000000E+02
1985,   1,  14,   0.37060518E+03,   0.38494352E+02,   0.14934165E+04,   0.75181638E+02,   0.43680482E+03,   0.43000000E+02
1985,   1,  15,   0.32710958E+03,   0.33973011E+02,   0.13181918E+04,   0.66485971E+02,   0.38556183E+03,   0.40000000E+02
1985,   1,  16,   0.32542887E+03,   0.33799219E+02,   0.13114083E+04,   0.66116500E+02,   0.38357599E+03,   0.40000000E+02
1985,   1,  17,   0.33719597E+03,   0.35023955E+02,   0.13587914E+04,   0.68412178E+02,   0.39742924E+03,   0.41000000E+02
1985,   1,  18,   0.36325239E+03,   0.37734737E+02,   0.14637306E+04,   0.73539548E+02,   0.42811277E+03,   0.43000000E+02
1985,   1,  19,   0.34777157E+03,   0.36125952E+02,   0.14013591E+04,   0.70428691E+02,   0.40987175E+03,   0.42000000E+02
1985,   1,  20,   0.31967130E+03,   0.33204229E+02,   0.12881653E+04,   0.64837288E+02,   0.37677081E+03,   0.40000000E+02
1985,   1,  21,   0.34506627E+03,   0.35846762E+02,   0.13904328E+04,   0.69813686E+02,   0.40667185E+03,   0.42000000E+02
1985,   1,  22,   0.34386596E+03,   0.35722982E+02,   0.13855836E+04,   0.69537375E+02,   0.40525150E+03,   0.42000000E+02
1985,   1,  23,   0.34276630E+03,   0.35609653E+02,   0.13811401E+04,   0.69281614E+02,   0.40394981E+03,   0.42000000E+02
1985,   1,  24,   0.31542186E+03,   0.32765813E+02,   0.12710006E+04,   0.63866588E+02,   0.37174363E+03,   0.40000000E+02
1985,   1,  25,   0.32756241E+03,   0.34029907E+02,   0.13198808E+04,   0.66216942E+02,   0.38603348E+03,   0.41000000E+02
1985,   1,  26,   0.31385037E+03,   0.32604062E+02,   0.12646477E+04,   0.63493626E+02,   0.36988213E+03,   0.40000000E+02
1985,   1,  27,   0.30061247E+03,   0.31227307E+02,   0.12113274E+04,   0.60872224E+02,   0.35429060E+03,   0.39000000E+02
1985,   1,  28,   0.28783131E+03,   0.29897845E+02,   0.11598497E+04,   0.58348874E+02,   0.33923834E+03,   0.38000000E+02
1985,   1,  29,   0.27549025E+03,   0.28613954E+02,   0.11101473E+04,   0.55919905E+02,   0.32470568E+03,   0.37000000E+02
1985,   1,  30,   0.26357331E+03,   0.27373981E+02,   0.10621559E+04,   0.53581839E+02,   0.31067376E+03,   0.36000000E+02
1985,   1,  31,   0.28678471E+03,   0.29790994E+02,   0.11556066E+04,   0.58068516E+02,   0.33799308E+03,   0.38000000E+02
1985,   2,   1,   0.10114404E+04,   0.10514829E+03,   0.40745170E+04,   0.20182630E+03,   0.11915366E+04,   0.76000000E+02
1985,   2,   2,   0.29117397E+04,   0.30204667E+03,   0.11738757E+05,   0.60488360E+03,   0.34343245E+04,   0.12300000E+03
1985,   2,   3,   0.54012029E+03,   0.56157314E+02,   0.21757410E+04,   0.10751847E+03,   0.63624985E+03,   0.55000000E+02
1985,   2,   4,   0.45492087E+03,   0.47294490E+02,   0.18325979E+04,   0.90724946E+02,   0.53591499E+03,   0.50000000E+02
1985,   2,   5,   0.40837301E+03,   0.42451684E+02,   0.16451345E+04,   0.81575357E+02,   0.48110235E+03,   0.47000000E+02
1985,   2,   6,   0.45552391E+03,   0.47360398E+02,   0.18349830E+04,   0.90725719E+02,   0.53660518E+03,   0.50000000E+02
1985,   2,   7,   0.36546692E+03,   0.37987830E+02,   0.14723368E+04,   0.73139008E+02,   0.43057770E+03,   0.44000000E+02
1985,   2,   8,   0.31242508E+03,   0.32466167E+02,   0.12587645E+04,   0.62831388E+02,   0.36813838E+03,   0.40000000E+02
1985,   2,   9,   0.33909161E+03,   0.35243665E+02,   0.13661162E+04,   0.67957925E+02,   0.39951996E+03,   0.42000000E+02
1985,   2,  10,   0.32648694E+03,   0.33931961E+02,   0.13153576E+04,   0.65492111E+02,   0.38467932E+03,   0.41000000E+02
1985,   2,  11,   0.32721607E+03,   0.34008659E+02,   0.13182825E+04,   0.65604397E+02,   0.38553263E+03,   0.41000000E+02
1985,   2,  12,   0.17998593E+08,   0.13720041E+07,   0.80342878E+08,   0.13834622E+08,   0.25061572E+08,   0.19500000E+04
1985,   2,  13,   0.71459536E+04,   0.73811033E+03,   0.28852865E+05,   0.15943438E+04,   0.84485137E+04,   0.17600000E+03
1985,   2,  14,   0.20611516E+04,   0.21419479E+03,   0.83043117E+04,   0.41426390E+03,   0.24286642E+04,   0.10500000E+03
1985,   2,  15,   0.12718548E+04,   0.13228617E+03,   0.51226782E+04,   0.25134984E+03,   0.14979088E+04,   0.84000000E+02
1985,   2,  16,   0.95568819E+03,   0.99425263E+02,   0.38489205E+04,   0.18797726E+03,   0.11253990E+04,   0.73000000E+02
1985,   2,  17,   0.80894089E+03,   0.84163938E+02,   0.32578367E+04,   0.15890356E+03,   0.95255742E+03,   0.67000000E+02
1985,   2,  18,   0.74303031E+03,   0.77308569E+02,   0.29923669E+04,   0.14587708E+03,   0.87493207E+03,   0.64000000E+02
1985,   2,  19,   0.70218535E+03,   0.73060321E+02,   0.28278540E+04,   0.13780291E+03,   0.82682716E+03,   0.62000000E+02
1985,   2,  20,   0.66289326E+03,   0.68972805E+02,   0.26696064E+04,   0.13006510E+03,   0.78055604E+03,   0.60000000E+02
1985,   2,  21,   0.60517117E+03,   0.62965541E+02,   0.24371669E+04,   0.11879190E+03,   0.71259708E+03,   0.57000000E+02
1985,   2,  22,   0.64889828E+03,   0.67520463E+02,   0.26131934E+04,   0.12717557E+03,   0.76405307E+03,   0.59000000E+02
1985,   2,  23,   0.76198756E+03,   0.79296116E+02,   0.30685043E+04,   0.14902757E+03,   0.89715950E+03,   0.64000000E+02
