YEAR,MONTH,DAY,LOAD (KG/DAY),LOWER 95% CI,UPPER 95% CI,SE,SEP,Q
1985,   1,   1,   0.54738928E+03,   0.33653556E+03,   0.84283150E+03,   0.25295051E+02,   0.12997662E+03,   0.36000000E+03
1985,   1,   2,   0.60851225E+03,   0.37413826E+03,   0.93689662E+03,   0.28023248E+02,   0.14447145E+03,   0.39800000E+03
1985,   1,   3,   0.78536406E+03,   0.48294101E+03,   0.12090547E+04,   0.35899889E+02,   0.18640741E+03,   0.50600000E+03
1985,   1,   4,   0.11485453E+04,   0.70637146E+03,   0.17679679E+04,   0.52095953E+02,   0.27253129E+03,   0.72300000E+03
1985,   1,   5,   0.14722970E+04,   0.90551707E+03,   0.22662556E+04,   0.66644057E+02,   0.34932623E+03,   0.91300000E+03
1985,   1,   6,   0.16211240E+04,   0.99705581E+03,   0.24953308E+04,   0.73362056E+02,   0.38463427E+03,   0.10000000E+04
1985,   1,   7,   0.17062885E+04,   0.10494391E+04,   0.26264138E+04,   0.77201096E+02,   0.40483788E+03,   0.10500000E+04
1985,   1,   8,   0.17568551E+04,   0.10805455E+04,   0.27042371E+04,   0.79465257E+02,   0.41683089E+03,   0.10800000E+04
1985,   1,   9,   0.17901139E+04,   0.11010087E+04,   0.27554157E+04,   0.80938851E+02,   0.42471600E+03,   0.11000000E+04
1985,   1,  10,   0.15825130E+04,   0.97334818E+03,   0.24358202E+04,   0.71453892E+02,   0.37544262E+03,   0.98100000E+03
1985,   1,  11,   0.11647674E+04,   0.71638601E+03,   0.17928642E+04,   0.52678913E+02,   0.27635133E+03,   0.73700000E+03
1985,   1,  12,   0.94929966E+03,   0.58382393E+03,   0.14612839E+04,   0.43093420E+02,   0.22526017E+03,   0.60900000E+03
1985,   1,  13,   0.84752966E+03,   0.52120899E+03,   0.13046775E+04,   0.38577974E+02,   0.20113108E+03,   0.54800000E+03
1985,   1,  14,   0.77951293E+03,   0.47936038E+03,   0.12000128E+04,   0.35562672E+02,   0.18500521E+03,   0.50700000E+03
1985,   1,  15,   0.74303657E+03,   0.45691787E+03,   0.11438822E+04,   0.33944414E+02,   0.17635694E+03,   0.48500000E+03
1985,   1,  16,   0.69534989E+03,   0.42757722E+03,   0.10705025E+04,   0.31832182E+02,   0.16505145E+03,   0.45600000E+03
1985,   1,  17,   0.64957501E+03,   0.39941268E+03,   0.10000651E+04,   0.29805173E+02,   0.15419934E+03,   0.42800000E+03
1985,   1,  18,   0.64122714E+03,   0.39427698E+03,   0.98721836E+03,   0.29433090E+02,   0.15221980E+03,   0.42300000E+03
1985,   1,  19,   0.67017218E+03,   0.41208804E+03,   0.10317551E+04,   0.30708264E+02,   0.15908069E+03,   0.44100000E+03
1985,   1,  20,   0.68621514E+03,   0.42196062E+03,   0.10564386E+04,   0.31412238E+02,   0.16288284E+03,   0.45100000E+03
1985,   1,  21,   0.64068508E+03,   0.39394573E+03,   0.98637977E+03,   0.29400009E+02,   0.15208953E+03,   0.42300000E+03
1985,   1,  22,   0.72335302E+03,   0.44481522E+03,   0.11135771E+04,   0.33039490E+02,   0.17168402E+03,   0.47400000E+03
1985,   1,  23,   0.78043493E+03,   0.47994223E+03,   0.12014029E+04,   0.35544979E+02,   0.18521256E+03,   0.50900000E+03
