CATCODE,STAID,UNIQID,STATE_CD,NAME,NOTES,Used in Calibration?,Do we have Data?
BS1_8730_8540,3208950,8730,51,"CRANES NEST RIVER NEAR CLINTWOOD, VA",,yes,yes
BS3_8350_8330,3207800,8350,51,"LEVISA FORK AT BIG ROCK, VA",,yes,yes
BS4_8440_0003,3208500,8440,51,"RUSSELL FORK AT HAYSI, VA",DB 8580 and 8590 drain to this gage,yes,yes
BS4_8540_8441,3209000,8540,51,"POUND RIVER BELOW FLANNAGAN DAM NEAR HAYSI, VA",,yes,yes
DE0_3791_0001,1483700,3791,10,"ST JONES RIVER AT DOVER, DE",,yes,yes
DE0_4231_0001,1484100,4231,10,"BEAVERDAM BRANCH AT HOUSTON, DE",,yes,yes
EL0_4562_0003,1487000,4562,10,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE",DB 4560 and 4561 drain to this gage,yes,yes
EL1_5430_0001,1485500,5430,24,"NASSAWANGO CREEK NEAR SNOW HILL, MD",,yes,yes
EL2_4400_4590,1488500,4400,10,"MARSHYHOPE CREEK NEAR ADAMSVILLE, DE",,yes,yes
EL2_5110_5270,1485000,5110,24,"POCOMOKE RIVER NEAR WILLARDS, MD",,yes,yes
EM2_3980_0001,1491000,3980,24,"CHOPTANK RIVER NEAR GREENSBORO, MD",,yes,yes
EU0_3830_0001,1493000,3830,24,"UNICORN BRANCH NEAR MILLINGTON, MD",,yes,yes
EU1_2650_0001,1495000,2650,24,"BIG ELK CREEK AT ELK MILLS, MD",,yes,yes
GY0_3800_3801,3078000,3800,24,"CASSELMAN RIVER AT GRANTSVILLE, MD",,yes,yes
GY0_3950_3952,3076600,3950,24,"BEAR CREEK AT FRIENDSVILLE, MD",two gages very close,yes,yes
GY0_3951_3952,3076500,3951,24,"YOUGHIOGHENY RIVER AT FRIENDSVILLE, MD",two gages very close,yes,yes
GY0_4531_4532,3075500,4531,24,"YOUGHIOGHENY RIVER NEAR OAKLAND, MD",,yes,yes
JA1_7600_7570,2041000,7600,51,"DEEP CREEK NEAR MANNBORO, VA",,yes,yes
JA2_7550_7280,2039500,7550,51,"APPOMATTOX RIVER AT FARMVILLE, VA",,yes,yes
JA4_7280_7340,2040000,7280,51,"APPOMATTOX RIVER AT MATTOAX, VA",,yes,yes
JA5_7480_0001,2041650,7480,51,"APPOMATTOX RIVER AT MATOACA, VA",,yes,yes
JB3_6820_7053,2042500,6820,51,"CHICKAHOMINY RIVER NEAR PROVIDENCE FORGE, VA",,yes,yes
JL1_6560_6440,2031000,6560,51,"MECHUMS RIVER NEAR WHITE HALL, VA",,yes,yes
JL1_6760_6910,2030000,6760,51,"HARDWARE RIVER BL BRIERY RUN NR SCOTTSVILLE, VA",,yes,yes
JL1_6770_6850,2028500,6770,51,"ROCKFISH RIVER NEAR GREENFIELD, VA",,yes,yes
JL1_6940_7200,2027000,6940,51,"TYE RIVER NEAR LOVINGSTON, VA",,yes,yes
JL1_7080_7190,2027500,7080,51,"PINEY RIVER AT PINEY RIVER, VA",,yes,yes
JL2_6240_6520,2032680,6240,51,"N F RIVANNA RIVER NEAR PROFFIT, VA","gage inside poly, but near downstream end",yes,yes
JL2_6441_6520,2032515,6441,51,"S F RIVANNA RIVER NEAR CHARLOTTESVILLE, VA","gage inside poly, but near downstream end",yes,yes
JL2_7110_7120,2030500,7110,51,"SLATE RIVER NEAR ARVONIA, VA",,yes,yes
JL2_7240_7350,2027800,7240,51,"BUFFALO RIVER NEAR TYE RIVER, VA",,yes,yes
JL4_6520_6710,2034000,6520,51,"RIVANNA RIVER AT PALMYRA, VA",,yes,yes
JL6_6890_6990,2029000,6890,51,"JAMES RIVER AT SCOTTSVILLE, VA",,yes,yes
JL6_7160_7440,2025500,7160,51,"JAMES RIVER AT HOLCOMB ROCK, VA",,yes,yes
