YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.16560934E+03,   0.14562625E+03,   0.18755160E+03,   0.66051806E+01,   0.10700150E+02
1985, 2,   0.43282170E+03,   0.37760103E+03,   0.49379937E+03,   0.16249416E+02,   0.29657742E+02
1985, 3,   0.22394648E+03,   0.19764592E+03,   0.25275010E+03,   0.85233894E+01,   0.14063282E+02
1985, 4,   0.18298427E+03,   0.16085593E+03,   0.20728736E+03,   0.68545576E+01,   0.11850214E+02
1985, 5,   0.13947995E+03,   0.12275577E+03,   0.15783244E+03,   0.51395860E+01,   0.89521838E+01
1985, 6,   0.73332405E+02,   0.64371886E+02,   0.83183654E+02,   0.27113245E+01,   0.48011823E+01
1985, 7,   0.34153219E+02,   0.30009140E+02,   0.38706085E+02,   0.13506044E+01,   0.22196389E+01
1985, 8,   0.54322578E+02,   0.47426137E+02,   0.61934085E+02,   0.20035833E+01,   0.37028982E+01
1985, 9,   0.15618740E+03,   0.12244077E+03,   0.19636335E+03,   0.67763491E+01,   0.18888278E+02
1985,10,   0.24651883E+03,   0.21438854E+03,   0.28207892E+03,   0.10221610E+02,   0.17277283E+02
1985,11,   0.16472566E+03,   0.14507291E+03,   0.18628138E+03,   0.59068914E+01,   0.10517076E+02
1985,12,   0.29413554E+03,   0.25986143E+03,   0.33164370E+03,   0.10239014E+02,   0.18319612E+02
1986, 1,   0.41007958E+03,   0.35196060E+03,   0.47500892E+03,   0.13098809E+02,   0.31410142E+02
1986, 2,   0.75554376E+03,   0.66723714E+03,   0.85221051E+03,   0.23451134E+02,   0.47207336E+02
1986, 3,   0.52262857E+03,   0.46163084E+03,   0.58939213E+03,   0.15783117E+02,   0.32606114E+02
1986, 4,   0.28083329E+03,   0.24944757E+03,   0.31504838E+03,   0.87240960E+01,   0.16741436E+02
1986, 5,   0.12539152E+03,   0.11124055E+03,   0.14083182E+03,   0.39633000E+01,   0.75518035E+01
1986, 6,   0.49224584E+02,   0.43485167E+02,   0.55505927E+02,   0.16848098E+01,   0.30678300E+01
1986, 7,   0.28529616E+02,   0.25081780E+02,   0.32316057E+02,   0.10632375E+01,   0.18463287E+01
1986, 8,   0.36232126E+02,   0.31878078E+02,   0.41011134E+02,   0.11961475E+01,   0.23309215E+01
1986, 9,   0.25190890E+02,   0.22123716E+02,   0.28561770E+02,   0.98563235E+00,   0.16431290E+01
1986,10,   0.32040680E+02,   0.28108672E+02,   0.36365415E+02,   0.12189872E+01,   0.21073139E+01
1986,11,   0.91189021E+02,   0.79943813E+02,   0.10356342E+03,   0.28043439E+01,   0.60283067E+01
1986,12,   0.52755388E+03,   0.45228960E+03,   0.61170309E+03,   0.16009917E+02,   0.40693337E+02
1987, 1,   0.83895371E+03,   0.74123832E+03,   0.94588485E+03,   0.23812160E+02,   0.52227992E+02
1987, 2,   0.70312682E+03,   0.62396668E+03,   0.78948055E+03,   0.18491822E+02,   0.42239676E+02
1987, 3,   0.63962478E+03,   0.56050517E+03,   0.72671618E+03,   0.16150575E+02,   0.42421277E+02
1987, 4,   0.37868118E+03,   0.33765887E+03,   0.42327813E+03,   0.99861291E+01,   0.21849640E+02
1987, 5,   0.27073466E+03,   0.24097919E+03,   0.30312410E+03,   0.73282297E+01,   0.15859273E+02
1987, 6,   0.98705680E+02,   0.87625610E+02,   0.11078942E+03,   0.26908283E+01,   0.59114654E+01
1987, 7,   0.41506970E+02,   0.36635050E+02,   0.46842275E+02,   0.12308058E+01,   0.26050115E+01
1987, 8,   0.14761523E+02,   0.12817888E+02,   0.16914986E+02,   0.70761362E+00,   0.10457549E+01
1987, 9,   0.23823202E+02,   0.20886713E+02,   0.27054416E+02,   0.89842338E+00,   0.15741490E+01
1987,10,   0.32625510E+02,   0.28805319E+02,   0.36808091E+02,   0.11829290E+01,   0.20424029E+01
1987,11,   0.51193513E+02,   0.45099873E+02,   0.57875711E+02,   0.17076558E+01,   0.32605959E+01
1987,12,   0.80845950E+02,   0.71742418E+02,   0.90776917E+02,   0.25962215E+01,   0.48576665E+01
1988, 1,   0.19501662E+03,   0.17022836E+03,   0.22237854E+03,   0.51219052E+01,   0.13310432E+02
1988, 2,   0.57237733E+03,   0.50343853E+03,   0.64806137E+03,   0.13240373E+02,   0.36910451E+02
1988, 3,   0.34815566E+03,   0.31110632E+03,   0.38837150E+03,   0.85881509E+01,   0.19717454E+02
1988, 4,   0.34260046E+03,   0.30511550E+03,   0.38338739E+03,   0.82117734E+01,   0.19974779E+02
1988, 5,   0.37093826E+03,   0.32980400E+03,   0.41574936E+03,   0.90923477E+01,   0.21933264E+02
1988, 6,   0.10762143E+03,   0.95469924E+02,   0.12088070E+03,   0.26884392E+01,   0.64849274E+01
1988, 7,   0.50967300E+02,   0.44986427E+02,   0.57516883E+02,   0.13193643E+01,   0.31979284E+01
1988, 8,   0.47631518E+02,   0.42034047E+02,   0.53762081E+02,   0.12478115E+01,   0.29931443E+01
1988, 9,   0.51501051E+02,   0.45727636E+02,   0.57796676E+02,   0.13838543E+01,   0.30800473E+01
1988,10,   0.52367739E+02,   0.46452258E+02,   0.58822750E+02,   0.14993767E+01,   0.31569985E+01
1988,11,   0.21211017E+03,   0.18386617E+03,   0.24344159E+03,   0.55669042E+01,   0.15206404E+02
1988,12,   0.26299456E+03,   0.23463959E+03,   0.29380762E+03,   0.66854361E+01,   0.15099353E+02
1989, 1,   0.36182280E+03,   0.32307900E+03,   0.40390036E+03,   0.87908354E+01,   0.20625055E+02
1989, 2,   0.51266775E+03,   0.45182597E+03,   0.57936676E+03,   0.11445356E+02,   0.32550334E+02
1989, 3,   0.93881951E+03,   0.83111745E+03,   0.10565121E+04,   0.19861232E+02,   0.57522361E+02
1989, 4,   0.73803308E+03,   0.65652723E+03,   0.82679180E+03,   0.15561495E+02,   0.43451387E+02
1989, 5,   0.88689371E+03,   0.78539451E+03,   0.99778316E+03,   0.20870629E+02,   0.54203023E+02
1989, 6,   0.60404440E+03,   0.53327697E+03,   0.68152894E+03,   0.16694826E+02,   0.37835695E+02
1989, 7,   0.38589665E+03,   0.34135810E+03,   0.43459401E+03,   0.12053255E+02,   0.23794611E+02
1989, 8,   0.25950677E+03,   0.23010691E+03,   0.29159666E+03,   0.84462494E+01,   0.15692466E+02
1989, 9,   0.30128438E+03,   0.26047651E+03,   0.34663837E+03,   0.10010291E+02,   0.21992952E+02
1989,10,   0.40016673E+03,   0.35397109E+03,   0.45067694E+03,   0.13032588E+02,   0.24680177E+02
1989,11,   0.42242519E+03,   0.37570691E+03,   0.47330725E+03,   0.12194482E+02,   0.24907559E+02
1989,12,   0.31603670E+03,   0.28279420E+03,   0.35208471E+03,   0.80198269E+01,   0.17682231E+02
1990, 1,   0.70655538E+03,   0.63004866E+03,   0.78972559E+03,   0.16287813E+02,   0.40748801E+02
1990, 2,   0.50428371E+03,   0.44950413E+03,   0.56385106E+03,   0.11829555E+02,   0.29180871E+02
1990, 3,   0.43697699E+03,   0.39022760E+03,   0.48774507E+03,   0.10217262E+02,   0.24885772E+02
1990, 4,   0.60083943E+03,   0.53565193E+03,   0.67171669E+03,   0.13098415E+02,   0.34723139E+02
1990, 5,   0.60295102E+03,   0.52938521E+03,   0.68381780E+03,   0.13631295E+02,   0.39414580E+02
1990, 6,   0.25942708E+03,   0.22820248E+03,   0.29370450E+03,   0.65010695E+01,   0.16717330E+02
1990, 7,   0.14196963E+03,   0.12550531E+03,   0.15997942E+03,   0.37396777E+01,   0.87981299E+01
1990, 8,   0.10914531E+03,   0.96243193E+02,   0.12328417E+03,   0.29136216E+01,   0.69012401E+01
1990, 9,   0.64909296E+02,   0.57908459E+02,   0.72517276E+02,   0.16888031E+01,   0.37280901E+01
1990,10,   0.86201128E+02,   0.75299315E+02,   0.98228552E+02,   0.22366223E+01,   0.58522602E+01
1990,11,   0.80676534E+02,   0.71857135E+02,   0.90272080E+02,   0.23249402E+01,   0.46994421E+01
1990,12,   0.16954637E+03,   0.14945767E+03,   0.19156559E+03,   0.44735724E+01,   0.10746563E+02
1991, 1,   0.72818650E+03,   0.64254049E+03,   0.82199681E+03,   0.17065091E+02,   0.45799583E+02
1991, 2,   0.38843211E+03,   0.34577572E+03,   0.43486111E+03,   0.99470043E+01,   0.22734421E+02
1991, 3,   0.55750643E+03,   0.49681057E+03,   0.62351999E+03,   0.12935985E+02,   0.32335783E+02
1991, 4,   0.53951742E+03,   0.48142481E+03,   0.60263892E+03,   0.12530416E+02,   0.30933140E+02
1991, 5,   0.25305863E+03,   0.22515467E+03,   0.28344150E+03,   0.63281581E+01,   0.14874735E+02
1991, 6,   0.17217248E+03,   0.14942790E+03,   0.19738151E+03,   0.42844925E+01,   0.12239864E+02
1991, 7,   0.18982110E+03,   0.15908046E+03,   0.22474860E+03,   0.52731503E+01,   0.16766472E+02
1991, 8,   0.12082946E+03,   0.10735553E+03,   0.13551512E+03,   0.33296834E+01,   0.71863618E+01
1991, 9,   0.71697220E+02,   0.63676255E+02,   0.80442063E+02,   0.18971982E+01,   0.42786662E+01
1991,10,   0.81144919E+02,   0.72275189E+02,   0.90795142E+02,   0.21997266E+01,   0.47262394E+01
1991,11,   0.84947558E+02,   0.75610929E+02,   0.95110705E+02,   0.24940370E+01,   0.49763089E+01
1991,12,   0.27542244E+03,   0.24553005E+03,   0.30792494E+03,   0.73376927E+01,   0.15922910E+02
1992, 1,   0.30196875E+03,   0.26964889E+03,   0.33706822E+03,   0.81900994E+01,   0.17204946E+02
1992, 2,   0.31105412E+03,   0.27528182E+03,   0.35015362E+03,   0.85837036E+01,   0.19107874E+02
1992, 3,   0.60477130E+03,   0.53816066E+03,   0.67729211E+03,   0.14590934E+02,   0.35506164E+02
1992, 4,   0.34735182E+03,   0.30933976E+03,   0.38871298E+03,   0.90812002E+01,   0.20255837E+02
1992, 5,   0.31170224E+03,   0.27491948E+03,   0.35200413E+03,   0.78557288E+01,   0.19673065E+02
1992, 6,   0.20708427E+03,   0.18228494E+03,   0.23429484E+03,   0.54673195E+01,   0.13273827E+02
1992, 7,   0.65731159E+02,   0.58592244E+02,   0.73493890E+02,   0.17838092E+01,   0.38028388E+01
1992, 8,   0.14580342E+03,   0.12488183E+03,   0.16921079E+03,   0.42741953E+01,   0.11315905E+02
1992, 9,   0.10970740E+03,   0.96308990E+02,   0.12443696E+03,   0.30533737E+01,   0.71788800E+01
1992,10,   0.11907422E+03,   0.10630911E+03,   0.13293909E+03,   0.32877883E+01,   0.67957948E+01
1992,11,   0.22493324E+03,   0.20032051E+03,   0.25171426E+03,   0.63146277E+01,   0.13115551E+02
1992,12,   0.41055390E+03,   0.36520531E+03,   0.45993868E+03,   0.11157177E+02,   0.24175885E+02
1993, 1,   0.58843886E+03,   0.52501110E+03,   0.65736372E+03,   0.15356325E+02,   0.33775650E+02
1993, 2,   0.58452552E+03,   0.51775595E+03,   0.65745964E+03,   0.15143779E+02,   0.35653271E+02
1993, 3,   0.12572374E+04,   0.11102500E+04,   0.14181449E+04,   0.31383615E+02,   0.78578336E+02
1993, 4,   0.82480613E+03,   0.73399696E+03,   0.92366900E+03,   0.19956979E+02,   0.48404042E+02
1993, 5,   0.31130813E+03,   0.27745834E+03,   0.34811955E+03,   0.84050529E+01,   0.18032466E+02
1993, 6,   0.11397129E+03,   0.10098889E+03,   0.12814864E+03,   0.31467174E+01,   0.69313238E+01
1993, 7,   0.36285498E+02,   0.32018827E+02,   0.40958783E+02,   0.12438297E+01,   0.22815923E+01
1993, 8,   0.26816141E+02,   0.23569800E+02,   0.30381904E+02,   0.10065667E+01,   0.17385848E+01
1993, 9,   0.27547439E+02,   0.24149915E+02,   0.31286177E+02,   0.10617853E+01,   0.18213501E+01
