YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.10656180E+01,   0.71990217E+00,   0.15209585E+01,   0.11774039E+00,   0.20519695E+00
1985, 2,   0.43616070E+01,   0.27644741E+01,   0.65555468E+01,   0.45399550E+00,   0.97250633E+00
1985, 3,   0.18710171E+01,   0.12845813E+01,   0.26351385E+01,   0.19763530E+00,   0.34584225E+00
1985, 4,   0.20058069E+01,   0.13626494E+01,   0.28497655E+01,   0.20825991E+00,   0.38089273E+00
1985, 5,   0.23384359E+01,   0.15596214E+01,   0.33729950E+01,   0.23745863E+00,   0.46463611E+00
1985, 6,   0.13967338E+01,   0.94363089E+00,   0.19934983E+01,   0.14236952E+00,   0.26893166E+00
1985, 7,   0.70652676E+00,   0.47824255E+00,   0.10068085E+01,   0.76667203E-01,   0.13539088E+00
1985, 8,   0.13768984E+01,   0.88466495E+00,   0.20470690E+01,   0.13909144E+00,   0.29808956E+00
1985, 9,   0.91398847E+01,   0.32523461E+01,   0.20581476E+02,   0.11619521E+01,   0.45514563E+01
1985,10,   0.69830161E+01,   0.42252677E+01,   0.10887110E+02,   0.80327281E+00,   0.17109477E+01
1985,11,   0.20301625E+01,   0.13846360E+01,   0.28750095E+01,   0.19938677E+00,   0.38169642E+00
1985,12,   0.33364365E+01,   0.22318381E+01,   0.48008806E+01,   0.32186333E+00,   0.65821754E+00
1986, 1,   0.54354265E+01,   0.28118471E+01,   0.95352085E+01,   0.48876507E+00,   0.17351536E+01
1986, 2,   0.10163462E+02,   0.68257156E+01,   0.14576886E+02,   0.87619508E+00,   0.19857696E+01
1986, 3,   0.72684054E+01,   0.47065079E+01,   0.10738607E+02,   0.60777204E+00,   0.15466056E+01
1986, 4,   0.38338304E+01,   0.26762321E+01,   0.53254993E+01,   0.32971289E+00,   0.67818822E+00
1986, 5,   0.19166272E+01,   0.13393965E+01,   0.26598880E+01,   0.16739715E+00,   0.33802665E+00
1986, 6,   0.86724227E+00,   0.59703988E+00,   0.12186755E+01,   0.81847717E-01,   0.15917599E+00
1986, 7,   0.58444615E+00,   0.39612156E+00,   0.83195135E+00,   0.59619567E-01,   0.11163375E+00
1986, 8,   0.82785762E+00,   0.55659592E+00,   0.11862786E+01,   0.74537836E-01,   0.16131443E+00
1986, 9,   0.43969478E+00,   0.29685229E+00,   0.62791342E+00,   0.46719593E-01,   0.84805089E-01
1986,10,   0.40022925E+00,   0.26903667E+00,   0.57359705E+00,   0.41508222E-01,   0.78023711E-01
