CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.30784143E+03,   0.29057406E+03,   0.32585629E+03,   0.74363503E+01,   0.90014125E+01
1986,   0.41659597E+03,   0.39339076E+03,   0.44079846E+03,   0.85242345E+01,   0.12094921E+02
1987,   0.45299906E+03,   0.43022546E+03,   0.47665229E+03,   0.78250224E+01,   0.11844467E+02
1988,   0.33511206E+03,   0.32135145E+03,   0.34930374E+03,   0.46725060E+01,   0.71310407E+01
1989,   0.92843711E+03,   0.89303551E+03,   0.96486622E+03,   0.12275387E+02,   0.18324943E+02
1990,   0.49420606E+03,   0.47436951E+03,   0.51464960E+03,   0.62411723E+01,   0.10276021E+02
1991,   0.42886940E+03,   0.41148537E+03,   0.44679079E+03,   0.57795904E+01,   0.90069191E+01
1992,   0.36620585E+03,   0.35177121E+03,   0.38107400E+03,   0.54861665E+01,   0.74755429E+01
1993,   0.51771378E+03,   0.49178503E+03,   0.54464010E+03,   0.83380868E+01,   0.13484442E+02
1994,   0.85432464E+03,   0.80931547E+03,   0.90115905E+03,   0.13931398E+02,   0.23431419E+02
1995,   0.40517750E+03,   0.38720093E+03,   0.42376408E+03,   0.66881357E+01,   0.93278771E+01
1996,   0.11507860E+04,   0.10995898E+04,   0.12037242E+04,   0.18116467E+02,   0.26566445E+02
1997,   0.60767529E+03,   0.58138765E+03,   0.63483194E+03,   0.94799417E+01,   0.13634501E+02
1998,   0.68342331E+03,   0.64666255E+03,   0.72170741E+03,   0.11678710E+02,   0.19145747E+02
1999,   0.51814092E+03,   0.48780086E+03,   0.54985472E+03,   0.75778579E+01,   0.15831690E+02
2000,   0.69531369E+03,   0.66428033E+03,   0.72740663E+03,   0.10712586E+02,   0.16104595E+02
2001,   0.64243237E+03,   0.60713179E+03,   0.67922865E+03,   0.11554663E+02,   0.18393710E+02
2002,   0.43707788E+03,   0.41283222E+03,   0.46236104E+03,   0.93038413E+01,   0.12636063E+02
2003,   0.13662081E+04,   0.12892231E+04,   0.14465419E+04,   0.34790984E+02,   0.40136159E+02
2004,   0.54672393E+03,   0.50971706E+03,   0.58568156E+03,   0.16146567E+02,   0.19381372E+02
