YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.23912551E+03,   0.21734051E+03,   0.26248499E+03,   0.71761507E+01,   0.11519386E+02
1985, 2,   0.73676095E+03,   0.66408977E+03,   0.81515305E+03,   0.20697219E+02,   0.38548142E+02
1985, 3,   0.34509489E+03,   0.31458653E+03,   0.37773832E+03,   0.99221777E+01,   0.16114007E+02
1985, 4,   0.29529442E+03,   0.26836523E+03,   0.32417198E+03,   0.83470685E+01,   0.14240051E+02
1985, 5,   0.24048382E+03,   0.21858817E+03,   0.26396092E+03,   0.66498265E+01,   0.11577626E+02
1985, 6,   0.12593085E+03,   0.11435471E+03,   0.13835175E+03,   0.34925282E+01,   0.61232837E+01
1985, 7,   0.57944655E+02,   0.52656679E+02,   0.63615515E+02,   0.17180091E+01,   0.27963368E+01
1985, 8,   0.96718058E+02,   0.87356283E+02,   0.10680199E+03,   0.26361733E+01,   0.49620751E+01
1985, 9,   0.38448622E+03,   0.31296582E+03,   0.46742988E+03,   0.12588405E+02,   0.39449850E+02
1985,10,   0.47908417E+03,   0.43029385E+03,   0.53185045E+03,   0.14550195E+02,   0.25915627E+02
1985,11,   0.25946243E+03,   0.23626549E+03,   0.28430241E+03,   0.68603760E+01,   0.12257320E+02
1985,12,   0.46985844E+03,   0.42829943E+03,   0.51432743E+03,   0.12122300E+02,   0.21951181E+02
1986, 1,   0.72084275E+03,   0.63430514E+03,   0.81581727E+03,   0.17223579E+02,   0.46325141E+02
1986, 2,   0.13602470E+04,   0.12393397E+04,   0.14896650E+04,   0.31544545E+02,   0.63873960E+02
1986, 3,   0.91715561E+03,   0.83352417E+03,   0.10068373E+04,   0.20775604E+02,   0.44223819E+02
1986, 4,   0.46058736E+03,   0.42195993E+03,   0.50177000E+03,   0.10788421E+02,   0.20364082E+02
1986, 5,   0.20059053E+03,   0.18360450E+03,   0.21871182E+03,   0.47847952E+01,   0.89579086E+01
1986, 6,   0.78048391E+02,   0.71212539E+02,   0.85357885E+02,   0.20152913E+01,   0.36093545E+01
1986, 7,   0.45980151E+02,   0.41801611E+02,   0.50459886E+02,   0.12879735E+01,   0.22093038E+01
1986, 8,   0.59497841E+02,   0.54117551E+02,   0.65263895E+02,   0.14629862E+01,   0.28441687E+01
1986, 9,   0.38761836E+02,   0.35213568E+02,   0.42567872E+02,   0.11365367E+01,   0.18765811E+01
1986,10,   0.46094829E+02,   0.41838433E+02,   0.50663336E+02,   0.13173437E+01,   0.22518408E+01
1986,11,   0.12990626E+03,   0.11771284E+03,   0.14300966E+03,   0.29832961E+01,   0.64550214E+01
1986,12,   0.10018221E+04,   0.87738565E+03,   0.11388536E+04,   0.22961214E+02,   0.66733567E+02
1987, 1,   0.15433110E+04,   0.14007348E+04,   0.16963471E+04,   0.32737479E+02,   0.75431095E+02
1987, 2,   0.11827184E+04,   0.10818247E+04,   0.12904086E+04,   0.23356253E+02,   0.53222010E+02
