CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.12715762E+02,   0.10032178E+02,   0.15896495E+02,   0.84286406E+00,   0.14982936E+01
1986,   0.16451580E+02,   0.13454755E+02,   0.19915570E+02,   0.90217679E+00,   0.16499952E+01
1987,   0.18010029E+02,   0.15163485E+02,   0.21233704E+02,   0.83877194E+00,   0.15497881E+01
1988,   0.11782905E+02,   0.10301955E+02,   0.13415718E+02,   0.42991478E+00,   0.79472482E+00
1989,   0.55498440E+02,   0.48397207E+02,   0.63342387E+02,   0.22158467E+01,   0.38145267E+01
1990,   0.22195284E+02,   0.18527906E+02,   0.26373727E+02,   0.77338188E+00,   0.20032811E+01
1991,   0.17032594E+02,   0.14725004E+02,   0.19597328E+02,   0.59774414E+00,   0.12436689E+01
1992,   0.12961666E+02,   0.11446443E+02,   0.14620369E+02,   0.50611499E+00,   0.81002265E+00
1993,   0.22497517E+02,   0.18662965E+02,   0.26885746E+02,   0.10014462E+01,   0.20996615E+01
1994,   0.50733539E+02,   0.40296712E+02,   0.63046139E+02,   0.26480391E+01,   0.58118354E+01
1995,   0.14376127E+02,   0.12439507E+02,   0.16527191E+02,   0.61505513E+00,   0.10433808E+01
1996,   0.77475817E+02,   0.64511769E+02,   0.92272682E+02,   0.37075636E+01,   0.70883969E+01
1997,   0.28338745E+02,   0.24222659E+02,   0.32950589E+02,   0.11647156E+01,   0.22280276E+01
1998,   0.36398828E+02,   0.29914734E+02,   0.43867960E+02,   0.18054134E+01,   0.35632570E+01
1999,   0.44187828E+02,   0.25932507E+02,   0.70543471E+02,   0.34888345E+01,   0.11466972E+02
2000,   0.40568404E+02,   0.34271124E+02,   0.47683112E+02,   0.17371483E+01,   0.34241092E+01
2001,   0.50561338E+02,   0.35963093E+02,   0.69136424E+02,   0.31644923E+01,   0.84891099E+01
2002,   0.24673376E+02,   0.20196760E+02,   0.29844621E+02,   0.14913134E+01,   0.24638954E+01
2003,   0.11429221E+03,   0.95429349E+02,   0.13578022E+03,   0.81211840E+01,   0.10302803E+02
2004,   0.32727647E+02,   0.25374491E+02,   0.41548897E+02,   0.26469782E+01,   0.41334015E+01
