YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.11408531E+04,   0.71691071E+03,   0.17264854E+04,   0.15476556E+03,   0.25903579E+03
1985, 2,   0.17375991E+04,   0.11117471E+04,   0.25920343E+04,   0.23369855E+03,   0.37964572E+03
1985, 3,   0.46466992E+03,   0.31929782E+03,   0.65398157E+03,   0.63079724E+02,   0.85702279E+02
1985, 4,   0.26676261E+03,   0.18266856E+03,   0.37652968E+03,   0.36086267E+02,   0.49645363E+02
1985, 5,   0.19639579E+03,   0.13476112E+03,   0.27673637E+03,   0.25842657E+02,   0.36356557E+02
1985, 6,   0.13711631E+03,   0.94652222E+02,   0.19224615E+03,   0.17700887E+02,   0.24988558E+02
1985, 7,   0.86328957E+02,   0.60134241E+02,   0.12013150E+03,   0.11049938E+02,   0.15359378E+02
1985, 8,   0.43146419E+03,   0.26968163E+03,   0.65573181E+03,   0.54503128E+02,   0.99065568E+02
1985, 9,   0.12563266E+03,   0.87281421E+02,   0.17521008E+03,   0.15242696E+02,   0.22510995E+02
1985,10,   0.27603600E+03,   0.19042697E+03,   0.38722743E+03,   0.33316345E+02,   0.50390652E+02
1985,11,   0.35669117E+04,   0.23166352E+04,   0.52571208E+04,   0.46355161E+03,   0.75387647E+03
1985,12,   0.88042599E+03,   0.58501250E+03,   0.12738182E+04,   0.10201396E+03,   0.17650515E+03
1986, 1,   0.57450848E+03,   0.39903934E+03,   0.80137594E+03,   0.66379945E+02,   0.10300439E+03
1986, 2,   0.11680340E+04,   0.81868022E+03,   0.16169782E+04,   0.13088020E+03,   0.20434123E+03
1986, 3,   0.81260011E+03,   0.55884257E+03,   0.11428736E+04,   0.90232854E+02,   0.14955003E+03
1986, 4,   0.34808194E+03,   0.24705182E+03,   0.47682085E+03,   0.39248037E+02,   0.58800562E+02
1986, 5,   0.25800465E+03,   0.17960762E+03,   0.35921272E+03,   0.28238907E+02,   0.45979686E+02
1986, 6,   0.11328238E+03,   0.79385127E+02,   0.15684827E+03,   0.12479710E+02,   0.19828398E+02
1986, 7,   0.56590369E+02,   0.40057066E+02,   0.77696438E+02,   0.66317905E+01,   0.96328267E+01
1986, 8,   0.27916677E+03,   0.18679597E+03,   0.40160609E+03,   0.29588332E+02,   0.55036432E+02
1986, 9,   0.95369100E+02,   0.68331447E+02,   0.12960286E+03,   0.98450744E+01,   0.15677404E+02
1986,10,   0.10463353E+03,   0.74379170E+02,   0.14314519E+03,   0.10786367E+02,   0.17597526E+02
1986,11,   0.23467589E+03,   0.16854226E+03,   0.31827719E+03,   0.23593499E+02,   0.38310799E+02
1986,12,   0.10023575E+04,   0.66014457E+03,   0.14607546E+04,   0.96004485E+02,   0.20519465E+03
1987, 1,   0.13991735E+04,   0.94505041E+03,   0.19973777E+04,   0.13173146E+03,   0.26956314E+03
1987, 2,   0.17289705E+04,   0.11923095E+04,   0.24261742E+04,   0.16068411E+03,   0.31593271E+03
1987, 3,   0.12719473E+04,   0.84643151E+03,   0.18380306E+04,   0.11789739E+03,   0.25408713E+03
