CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.33000921E+02,   0.25411019E+02,   0.42149521E+02,   0.36341590E+01,   0.42779631E+01
1986,   0.17276269E+02,   0.14056423E+02,   0.21011542E+02,   0.15949512E+01,   0.17763337E+01
1987,   0.36551210E+02,   0.30279522E+02,   0.43735447E+02,   0.28127345E+01,   0.34359768E+01
1988,   0.18317640E+02,   0.15815219E+02,   0.21101510E+02,   0.11235335E+01,   0.13493488E+01
1989,   0.39357437E+02,   0.34646543E+02,   0.44526120E+02,   0.18895676E+01,   0.25214376E+01
1990,   0.30600971E+02,   0.27121946E+02,   0.34399545E+02,   0.12129175E+01,   0.18572821E+01
1991,   0.22949168E+02,   0.20272470E+02,   0.25878698E+02,   0.75876703E+00,   0.14307711E+01
1992,   0.23578199E+02,   0.21168912E+02,   0.26184535E+02,   0.70906392E+00,   0.12799099E+01
1993,   0.56222212E+02,   0.49764872E+02,   0.63279300E+02,   0.19783646E+01,   0.34489842E+01
1994,   0.43122589E+02,   0.38078838E+02,   0.48644221E+02,   0.14283215E+01,   0.26964092E+01
1995,   0.32910312E+02,   0.29621792E+02,   0.36461367E+02,   0.10901826E+01,   0.17453288E+01
1996,   0.60346431E+02,   0.53207355E+02,   0.68170402E+02,   0.23689670E+01,   0.38187845E+01
1997,   0.27486697E+02,   0.24721958E+02,   0.30473732E+02,   0.86247992E+00,   0.14677491E+01
1998,   0.52088242E+02,   0.45436739E+02,   0.59433880E+02,   0.21098888E+01,   0.35725465E+01
1999,   0.22978233E+02,   0.19810532E+02,   0.26505826E+02,   0.77815642E+00,   0.17090226E+01
2000,   0.21874603E+02,   0.19541213E+02,   0.24407941E+02,   0.70046990E+00,   0.12419520E+01
2001,   0.16828873E+02,   0.14522855E+02,   0.19395128E+02,   0.61674130E+00,   0.12436735E+01
2002,   0.13887047E+02,   0.11954061E+02,   0.16042022E+02,   0.67002618E+00,   0.10434953E+01
2003,   0.77746455E+02,   0.65896872E+02,   0.91102728E+02,   0.50475515E+01,   0.64349149E+01
2004,   0.39310178E+02,   0.32695190E+02,   0.46866424E+02,   0.29110986E+01,   0.36184857E+01
