CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.24033989E+04,   0.21349657E+04,   0.26960144E+04,   0.12170051E+03,   0.14318049E+03
1986,   0.12091090E+04,   0.11001614E+04,   0.13258382E+04,   0.50855816E+02,   0.57584933E+02
1987,   0.24327059E+04,   0.22289274E+04,   0.26499472E+04,   0.85653080E+02,   0.10742602E+03
1988,   0.10827518E+04,   0.10112176E+04,   0.11579619E+04,   0.30122686E+02,   0.37439663E+02
1989,   0.22141595E+04,   0.20848831E+04,   0.23492716E+04,   0.48671456E+02,   0.67452899E+02
1990,   0.16667625E+04,   0.15736550E+04,   0.17638834E+04,   0.30431542E+02,   0.48532167E+02
1991,   0.11694574E+04,   0.10998911E+04,   0.12422259E+04,   0.18244104E+02,   0.36313732E+02
1992,   0.11435809E+04,   0.10838214E+04,   0.12057434E+04,   0.16503506E+02,   0.31105068E+02
1993,   0.28143026E+04,   0.26540152E+04,   0.29816404E+04,   0.48526017E+02,   0.83585968E+02
1994,   0.21303451E+04,   0.20033344E+04,   0.22632160E+04,   0.35275202E+02,   0.66303357E+02
1995,   0.15311046E+04,   0.14555786E+04,   0.16094908E+04,   0.24652344E+02,   0.39266149E+02
1996,   0.28329249E+04,   0.26720126E+04,   0.30008951E+04,   0.52840287E+02,   0.83906674E+02
1997,   0.13821445E+04,   0.13114787E+04,   0.14555881E+04,   0.21427669E+02,   0.36765463E+02
1998,   0.27711807E+04,   0.25942636E+04,   0.29568674E+04,   0.55039515E+02,   0.92512287E+02
1999,   0.11502292E+04,   0.10745986E+04,   0.12297266E+04,   0.18566099E+02,   0.39578612E+02
2000,   0.12200272E+04,   0.11532637E+04,   0.12896074E+04,   0.19464210E+02,   0.34784672E+02
2001,   0.10052590E+04,   0.93316802E+03,   0.10813889E+04,   0.18616151E+02,   0.37817330E+02
2002,   0.87697120E+03,   0.81402295E+03,   0.94344953E+03,   0.21401314E+02,   0.33022124E+02
2003,   0.53351652E+04,   0.49335898E+04,   0.57604206E+04,   0.16966326E+03,   0.21096244E+03
2004,   0.29226354E+04,   0.26790222E+04,   0.31822589E+04,   0.10652727E+03,   0.12840392E+03
