CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.10246639E+05,   0.68212222E+04,   0.14802531E+05,   0.17943983E+04,   0.20451128E+04
1986,   0.42783005E+04,   0.37326413E+04,   0.48808267E+04,   0.24889290E+03,   0.29305559E+03
1987,   0.12811941E+05,   0.96170708E+04,   0.16730983E+05,   0.16588487E+04,   0.18188256E+04
1988,   0.33526910E+04,   0.30762381E+04,   0.36471041E+04,   0.12261688E+03,   0.14565929E+03
1989,   0.11079005E+05,   0.96049243E+04,   0.12714078E+05,   0.70213968E+03,   0.79359912E+03
1990,   0.85389200E+04,   0.77132781E+04,   0.94281785E+04,   0.36894619E+03,   0.43760084E+03
1991,   0.78121454E+04,   0.69553892E+04,   0.87445644E+04,   0.37805029E+03,   0.45659361E+03
1992,   0.88701826E+04,   0.73233301E+04,   0.10646334E+05,   0.67658213E+03,   0.84856006E+03
1993,   0.97928016E+04,   0.84035484E+04,   0.11345025E+05,   0.65021483E+03,   0.75086209E+03
1994,   0.89464713E+04,   0.79259615E+04,   0.10061056E+05,   0.46592677E+03,   0.54488905E+03
1995,   0.78395350E+04,   0.66087961E+04,   0.92320900E+04,   0.54236837E+03,   0.66974549E+03
1996,   0.12218310E+05,   0.10407259E+05,   0.14252521E+05,   0.86128537E+03,   0.98163133E+03
1997,   0.52391560E+04,   0.47963080E+04,   0.57115446E+04,   0.18466604E+03,   0.23352968E+03
1998,   0.10355919E+05,   0.87560696E+04,   0.12162321E+05,   0.77872058E+03,   0.86961635E+03
1999,   0.32941695E+04,   0.30258079E+04,   0.35797423E+04,   0.11314027E+03,   0.14133837E+03
2000,   0.37578863E+04,   0.34292120E+04,   0.41092999E+04,   0.14375466E+03,   0.17353246E+03
2001,   0.31485808E+04,   0.28005587E+04,   0.35276015E+04,   0.15487476E+03,   0.18554089E+03
2002,   0.30405947E+04,   0.26843496E+04,   0.34306561E+04,   0.17015710E+03,   0.19046644E+03
2003,   0.11949890E+05,   0.97559561E+04,   0.14488951E+05,   0.11458173E+04,   0.12087590E+04
2004,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00
