YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.25677993E+04,   0.17693200E+04,   0.36057137E+04,   0.33688083E+03,   0.47021867E+03
1985, 2,   0.42680844E+04,   0.28848524E+04,   0.60893221E+04,   0.59325425E+03,   0.82084181E+03
1985, 3,   0.23057608E+04,   0.16511679E+04,   0.31348791E+04,   0.28481309E+03,   0.37963811E+03
1985, 4,   0.17190302E+04,   0.12307704E+04,   0.23375486E+04,   0.21578880E+03,   0.28319300E+03
1985, 5,   0.25808829E+04,   0.17948924E+04,   0.35962413E+04,   0.32325902E+03,   0.46116186E+03
1985, 6,   0.12675041E+04,   0.90888388E+03,   0.17213268E+04,   0.15705894E+03,   0.20787535E+03
1985, 7,   0.10906949E+04,   0.78346149E+03,   0.14790320E+04,   0.13637161E+03,   0.17796637E+03
1985, 8,   0.22896984E+04,   0.15065488E+04,   0.33393907E+04,   0.33573114E+03,   0.46976335E+03
1985, 9,   0.11106384E+04,   0.80296508E+03,   0.14978312E+04,   0.13175370E+03,   0.17776614E+03
1985,10,   0.10194039E+04,   0.74281797E+03,   0.13656237E+04,   0.11818188E+03,   0.15930973E+03
1985,11,   0.25039957E+05,   0.68151991E+04,   0.65829661E+05,   0.13479656E+05,   0.15788062E+05
1985,12,   0.30468860E+04,   0.20069291E+04,   0.44397911E+04,   0.41283130E+03,   0.62353548E+03
1986, 1,   0.12385953E+04,   0.90840864E+03,   0.16500920E+04,   0.13799533E+03,   0.18969738E+03
1986, 2,   0.26299709E+04,   0.19185096E+04,   0.35198868E+04,   0.27962209E+03,   0.40961449E+03
1986, 3,   0.41387594E+04,   0.25562506E+04,   0.63495216E+04,   0.60995389E+03,   0.97369595E+03
1986, 4,   0.13784043E+04,   0.10075405E+04,   0.18416578E+04,   0.15508939E+03,   0.21335077E+03
1986, 5,   0.18847937E+04,   0.13532822E+04,   0.25568128E+04,   0.19665780E+03,   0.30793373E+03
1986, 6,   0.11325462E+04,   0.83102022E+03,   0.15082045E+04,   0.12340338E+03,   0.17319935E+03
