YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.12483998E+06,   0.56309849E+05,   0.24116874E+06,   0.27173010E+05,   0.47966872E+05
1985, 2,   0.31787079E+06,   0.14490623E+06,   0.60963652E+06,   0.74020730E+05,   0.12053209E+06
1985, 3,   0.71177574E+05,   0.39816079E+05,   0.11785431E+06,   0.13520252E+05,   0.20087781E+05
1985, 4,   0.32948019E+05,   0.19441210E+05,   0.52380683E+05,   0.63221681E+04,   0.84655951E+04
1985, 5,   0.15576131E+06,   0.68180011E+05,   0.30707927E+06,   0.31955908E+05,   0.62072083E+05
1985, 6,   0.15886527E+05,   0.92213502E+04,   0.25576974E+05,   0.29664205E+04,   0.42054353E+04
1985, 7,   0.93314537E+04,   0.54498046E+04,   0.14952902E+05,   0.17579303E+04,   0.24430500E+04
1985, 8,   0.19728461E+06,   0.72509324E+05,   0.43547295E+06,   0.50520298E+05,   0.95152996E+05
1985, 9,   0.11852978E+05,   0.67505514E+04,   0.19361479E+05,   0.21528596E+04,   0.32443968E+04
1985,10,   0.78779422E+04,   0.46333000E+04,   0.12555861E+05,   0.14258029E+04,   0.20363210E+04
1985,11,   0.14433513E+08,   0.17738462E+07,   0.54663735E+08,   0.12864409E+08,   0.15467902E+08
1985,12,   0.29644522E+06,   0.10097448E+06,   0.68549256E+06,   0.77315563E+05,   0.15392967E+06
1986, 1,   0.14989014E+05,   0.90371153E+04,   0.23434467E+05,   0.26245490E+04,   0.36979971E+04
1986, 2,   0.11463352E+06,   0.68381234E+05,   0.18071492E+06,   0.18808961E+05,   0.28861552E+05
1986, 3,   0.56197379E+06,   0.16060772E+06,   0.14382665E+07,   0.17948618E+06,   0.34053109E+06
1986, 4,   0.21790008E+05,   0.13327669E+05,   0.33686809E+05,   0.37434463E+04,   0.52273102E+04
1986, 5,   0.94329436E+05,   0.41969845E+05,   0.18392944E+06,   0.15951277E+05,   0.36857628E+05
1986, 6,   0.13883387E+05,   0.82520662E+04,   0.21947494E+05,   0.22598336E+04,   0.35190719E+04
1986, 7,   0.85195112E+04,   0.52126565E+04,   0.13167439E+05,   0.14336238E+04,   0.20424117E+04
1986, 8,   0.87690343E+04,   0.51692174E+04,   0.13951416E+05,   0.14091404E+04,   0.22571267E+04
1986, 9,   0.10921307E+05,   0.61716596E+04,   0.17945231E+05,   0.17121315E+04,   0.30296841E+04
1986,10,   0.33001745E+04,   0.18944873E+04,   0.53583430E+04,   0.69094309E+03,   0.89093138E+03
1986,11,   0.12622678E+05,   0.72834731E+04,   0.20414698E+05,   0.18773463E+04,   0.33769458E+04
1986,12,   0.38447775E+06,   0.13007907E+06,   0.89266428E+06,   0.98555570E+05,   0.20090723E+06
1987, 1,   0.15628647E+06,   0.71259159E+05,   0.29969879E+06,   0.26115581E+05,   0.59247442E+05
1987, 2,   0.17397615E+06,   0.10508693E+06,   0.27161031E+06,   0.24950731E+05,   0.42769843E+05
1987, 3,   0.12971292E+07,   0.41183737E+06,   0.31268090E+07,   0.46061783E+06,   0.71822806E+06
1987, 4,   0.10836725E+08,   0.23532770E+07,   0.32025099E+08,   0.67996786E+07,   0.80966638E+07
1987, 5,   0.21070924E+06,   0.12807145E+06,   0.32735831E+06,   0.30593080E+05,   0.51176325E+05
1987, 6,   0.36595567E+05,   0.22030736E+05,   0.57282470E+05,   0.51625323E+04,   0.90548673E+04
1987, 7,   0.18646481E+05,   0.11603752E+05,   0.28437206E+05,   0.25811660E+04,   0.43201606E+04
1987, 8,   0.62067670E+04,   0.38397427E+04,   0.95100234E+04,   0.10079112E+04,   0.14554460E+04
1987, 9,   0.18119074E+07,   0.32760882E+06,   0.58397439E+07,   0.85920614E+06,   0.15332002E+07
1987,10,   0.85106033E+04,   0.54961572E+04,   0.12600980E+05,   0.11940364E+04,   0.18217599E+04
1987,11,   0.25795847E+05,   0.10511788E+05,   0.53321092E+05,   0.35774902E+04,   0.11160993E+05
1987,12,   0.82047474E+05,   0.45003925E+05,   0.13786596E+06,   0.11650348E+05,   0.23918375E+05
1988, 1,   0.15199211E+06,   0.71836313E+05,   0.28432081E+06,   0.22112229E+05,   0.55026570E+05
1988, 2,   0.47919425E+05,   0.29481600E+05,   0.73742239E+05,   0.62232563E+04,   0.11362414E+05
