YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.11484957E+05,   0.89755202E+04,   0.14478926E+05,   0.97200303E+03,   0.14062564E+04
1985, 2,   0.21499828E+05,   0.16732637E+05,   0.27203836E+05,   0.18727027E+04,   0.26757985E+04
1985, 3,   0.88639557E+04,   0.70687482E+04,   0.10975909E+05,   0.75701346E+03,   0.99812012E+03
1985, 4,   0.54767511E+04,   0.43824081E+04,   0.67611372E+04,   0.48127100E+03,   0.60764320E+03
1985, 5,   0.90934731E+04,   0.70651087E+04,   0.11523302E+05,   0.79222745E+03,   0.11392678E+04
1985, 6,   0.41310597E+04,   0.32915383E+04,   0.51193042E+04,   0.35602296E+03,   0.46692448E+03
1985, 7,   0.29562359E+04,   0.23327046E+04,   0.36951997E+04,   0.24783599E+03,   0.34810767E+03
1985, 8,   0.22854119E+05,   0.15580746E+05,   0.32375955E+05,   0.26508002E+04,   0.43014222E+04
1985, 9,   0.31983578E+04,   0.25697350E+04,   0.39340509E+04,   0.25286535E+03,   0.34849579E+03
1985,10,   0.41744247E+04,   0.33419680E+04,   0.51511069E+04,   0.32107820E+03,   0.46213940E+03
1985,11,   0.15802824E+06,   0.89708296E+05,   0.25877229E+06,   0.34614211E+05,   0.43499130E+05
1985,12,   0.19288402E+05,   0.14751372E+05,   0.24782925E+05,   0.15698466E+04,   0.25640740E+04
1986, 1,   0.53071572E+04,   0.43391773E+04,   0.64262539E+04,   0.39397651E+03,   0.53300968E+03
1986, 2,   0.13450767E+05,   0.10966085E+05,   0.16329105E+05,   0.96297301E+03,   0.13696818E+04
1986, 3,   0.18678697E+05,   0.14407033E+05,   0.23821626E+05,   0.14486174E+04,   0.24060896E+04
1986, 4,   0.61113375E+04,   0.49883364E+04,   0.74111789E+04,   0.45982981E+03,   0.61877078E+03
1986, 5,   0.67772480E+04,   0.54324293E+04,   0.83537056E+04,   0.50248571E+03,   0.74622074E+03
1986, 6,   0.25372439E+04,   0.20391474E+04,   0.31200617E+04,   0.19139128E+03,   0.27610382E+03
1986, 7,   0.14790584E+04,   0.11920684E+04,   0.18141995E+04,   0.11439908E+03,   0.15890906E+03
1986, 8,   0.23829076E+04,   0.19292998E+04,   0.29109392E+04,   0.16384718E+03,   0.25072406E+03
1986, 9,   0.21977835E+04,   0.18012379E+04,   0.26554661E+04,   0.14573748E+03,   0.21815206E+03
1986,10,   0.14749184E+04,   0.12154505E+04,   0.17732379E+04,   0.10094332E+03,   0.14243899E+03
1986,11,   0.30383177E+04,   0.25091389E+04,   0.36458260E+04,   0.19366165E+03,   0.29026290E+03
1986,12,   0.18077693E+05,   0.13860579E+05,   0.23175866E+05,   0.12728130E+04,   0.23809096E+04
1987, 1,   0.11227472E+05,   0.90960811E+04,   0.13707444E+05,   0.68793249E+03,   0.11777963E+04
1987, 2,   0.16456085E+05,   0.13540680E+05,   0.19811586E+05,   0.10143565E+04,   0.16013911E+04
1987, 3,   0.31238182E+05,   0.23280018E+05,   0.41048474E+05,   0.27428253E+04,   0.45433973E+04
1987, 4,   0.12976111E+06,   0.84927903E+05,   0.19006342E+06,   0.21632650E+05,   0.26949758E+05
1987, 5,   0.15993983E+05,   0.13087353E+05,   0.19352486E+05,   0.10607416E+04,   0.16000118E+04
1987, 6,   0.55911895E+04,   0.45860946E+04,   0.67505831E+04,   0.36196411E+03,   0.55276044E+03
1987, 7,   0.24739410E+04,   0.20418703E+04,   0.29701700E+04,   0.15578639E+03,   0.23705079E+03
1987, 8,   0.11509587E+04,   0.94446017E+03,   0.13890869E+04,   0.83271933E+02,   0.11354690E+03
1987, 9,   0.39967199E+05,   0.25237585E+05,   0.60250291E+05,   0.54172087E+04,   0.89824613E+04
1987,10,   0.29362494E+04,   0.24611971E+04,   0.34759325E+04,   0.16639527E+03,   0.25908304E+03
1987,11,   0.60950581E+04,   0.46757402E+04,   0.78102688E+04,   0.34546414E+03,   0.80115318E+03
1987,12,   0.11678541E+05,   0.95635215E+04,   0.14121048E+05,   0.66726426E+03,   0.11639077E+04
1988, 1,   0.12640901E+05,   0.10326675E+05,   0.15317981E+05,   0.68755849E+03,   0.12747199E+04
1988, 2,   0.84091676E+04,   0.70202719E+04,   0.99915212E+04,   0.47386211E+03,   0.75865140E+03
1988, 3,   0.59419759E+04,   0.49257537E+04,   0.71055060E+04,   0.34964105E+03,   0.55659693E+03
1988, 4,   0.65684638E+04,   0.54937839E+04,   0.77912313E+04,   0.38401735E+03,   0.58659842E+03
