CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.95091940E+04,   0.52716407E+04,   0.15852014E+05,   0.21867359E+04,   0.27242550E+04
1986,   0.21267216E+04,   0.17345924E+04,   0.25808435E+04,   0.18489946E+03,   0.21612627E+03
1987,   0.68182952E+04,   0.45643850E+04,   0.98049727E+04,   0.11286189E+04,   0.13426759E+04
1988,   0.13459265E+04,   0.11651838E+04,   0.15466131E+04,   0.83334949E+02,   0.97359420E+02
1989,   0.41170571E+04,   0.33088655E+04,   0.50627051E+04,   0.36878036E+03,   0.44799269E+03
1990,   0.29278906E+04,   0.24778964E+04,   0.34356448E+04,   0.19109946E+03,   0.24451118E+03
1991,   0.21735292E+04,   0.18233761E+04,   0.25710896E+04,   0.14360019E+03,   0.19090533E+03
1992,   0.21967694E+04,   0.17205424E+04,   0.27640873E+04,   0.18551411E+03,   0.26664388E+03
1993,   0.30100985E+04,   0.23134022E+04,   0.38509732E+04,   0.32317698E+03,   0.39297709E+03
1994,   0.24390857E+04,   0.19293071E+04,   0.30422206E+04,   0.23033485E+03,   0.28433263E+03
1995,   0.18370272E+04,   0.14670217E+04,   0.22718937E+04,   0.15365291E+03,   0.20560844E+03
1996,   0.38195262E+04,   0.27061926E+04,   0.52398749E+04,   0.53557299E+03,   0.64841937E+03
1997,   0.12380124E+04,   0.10800708E+04,   0.14124193E+04,   0.67856112E+02,   0.84826554E+02
1998,   0.31249322E+04,   0.23772106E+04,   0.40337713E+04,   0.37170077E+03,   0.42345098E+03
1999,   0.83425568E+03,   0.69168320E+03,   0.99747741E+03,   0.46041756E+02,   0.78084034E+02
2000,   0.78817526E+03,   0.69257474E+03,   0.89320235E+03,   0.40223003E+02,   0.51204266E+02
2001,   0.63607828E+03,   0.54068948E+03,   0.74337637E+03,   0.38429507E+02,   0.51743506E+02
2002,   0.65434583E+03,   0.55139487E+03,   0.77086617E+03,   0.45811890E+02,   0.56032786E+02
2003,   0.40569875E+04,   0.30530794E+04,   0.52863006E+04,   0.52543660E+03,   0.57094912E+03
2004,   0.20690559E+04,   0.16096213E+04,   0.26189316E+04,   0.23732820E+03,   0.25791944E+03
