CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.21620869E+08,   0.44096471E+07,   0.65872976E+08,   0.12339657E+08,   0.16876651E+08
1986,   0.24099751E+06,   0.12739389E+06,   0.41616862E+06,   0.39538446E+05,   0.74470508E+05
1987,   0.96341067E+07,   0.29057217E+07,   0.23920616E+08,   0.42615315E+07,   0.55790908E+07
1988,   0.97873456E+05,   0.72465370E+05,   0.12933466E+06,   0.93458496E+04,   0.14542988E+05
1989,   0.26084264E+07,   0.11692766E+07,   0.50603234E+07,   0.69190525E+06,   0.10099164E+07
1990,   0.11185204E+07,   0.58363662E+06,   0.19499367E+07,   0.21336456E+06,   0.35250558E+06
1991,   0.73696889E+06,   0.40721327E+06,   0.12315729E+07,   0.12870138E+06,   0.21227977E+06
1992,   0.21101828E+07,   0.59550049E+06,   0.54385924E+07,   0.73233772E+06,   0.12920476E+07
1993,   0.28716982E+07,   0.12019186E+07,   0.58328931E+07,   0.85168387E+06,   0.12057751E+07
1994,   0.20472914E+07,   0.89460127E+06,   0.40408532E+07,   0.55311715E+06,   0.81754008E+06
1995,   0.19893629E+07,   0.84163266E+06,   0.40121115E+07,   0.54262283E+06,   0.82507741E+06
1996,   0.10652566E+08,   0.31088475E+07,   0.26946178E+08,   0.45457237E+07,   0.63434443E+07
1997,   0.36412403E+06,   0.25710326E+06,   0.50097328E+06,   0.39901297E+05,   0.62415096E+05
1998,   0.40297847E+07,   0.20285870E+07,   0.72097750E+07,   0.11054703E+07,   0.13384737E+07
1999,   0.55507242E+06,   0.15045270E+06,   0.14625591E+07,   0.13888909E+06,   0.35114045E+06
2000,   0.19784663E+06,   0.13836664E+06,   0.27439577E+06,   0.20116281E+05,   0.34820979E+05
2001,   0.22888118E+06,   0.14086192E+06,   0.35212871E+06,   0.31334031E+05,   0.54235102E+05
2002,   0.17742056E+06,   0.11881081E+06,   0.25506762E+06,   0.23936651E+05,   0.34909716E+05
2003,   0.66504085E+07,   0.32022588E+07,   0.12279550E+08,   0.19258670E+07,   0.23489646E+07
2004,   0.15993253E+07,   0.79981265E+06,   0.28749050E+07,   0.38163834E+06,   0.53619694E+06
