YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.79259407E+04,   0.53442649E+04,   0.11330603E+05,   0.82009568E+03,   0.15335094E+04
1985, 2,   0.15445420E+05,   0.10743547E+05,   0.21518666E+05,   0.15558450E+04,   0.27585201E+04
1985, 3,   0.61714713E+04,   0.44335006E+04,   0.83680839E+04,   0.61733464E+03,   0.10066877E+04
1985, 4,   0.31346149E+04,   0.22817329E+04,   0.42029811E+04,   0.31246091E+03,   0.49145174E+03
1985, 5,   0.59986397E+04,   0.40979039E+04,   0.84835803E+04,   0.57848751E+03,   0.11231695E+04
1985, 6,   0.16058895E+04,   0.11366245E+04,   0.22049762E+04,   0.15574372E+03,   0.27341747E+03
1985, 7,   0.11622477E+04,   0.72874764E+03,   0.17619432E+04,   0.11061469E+03,   0.26511083E+03
1985, 8,   0.97179565E+04,   0.60223432E+04,   0.14869493E+05,   0.96003479E+03,   0.22707838E+04
1985, 9,   0.90051636E+03,   0.62133212E+03,   0.12630899E+04,   0.84053173E+02,   0.16432122E+03
1985,10,   0.12523017E+04,   0.80370754E+03,   0.18635078E+04,   0.11445897E+03,   0.27178478E+03
1985,11,   0.28703721E+05,   0.19046399E+05,   0.41575776E+05,   0.29393269E+04,   0.57732820E+04
1985,12,   0.11631160E+05,   0.78263659E+04,   0.16655761E+05,   0.10372482E+04,   0.22619085E+04
1986, 1,   0.26641519E+04,   0.19714023E+04,   0.35222752E+04,   0.23770814E+03,   0.39660309E+03
1986, 2,   0.87529856E+04,   0.64131765E+04,   0.11670972E+05,   0.74400519E+03,   0.13447875E+04
1986, 3,   0.10010108E+05,   0.68612649E+04,   0.14117563E+05,   0.81972818E+03,   0.18582088E+04
1986, 4,   0.27005043E+04,   0.20052956E+04,   0.35596224E+04,   0.22775407E+03,   0.39746420E+03
1986, 5,   0.30030288E+04,   0.20598883E+04,   0.42326898E+04,   0.24380052E+03,   0.55640765E+03
1986, 6,   0.72421530E+03,   0.51409580E+03,   0.99193370E+03,   0.61303259E+02,   0.12228391E+03
1986, 7,   0.37520143E+03,   0.27110803E+03,   0.50624856E+03,   0.32509724E+02,   0.60156092E+02
1986, 8,   0.75012718E+03,   0.48983537E+03,   0.11007560E+04,   0.59652458E+02,   0.15660750E+03
1986, 9,   0.72335492E+03,   0.49997400E+03,   0.10131160E+04,   0.57284259E+02,   0.13138479E+03
1986,10,   0.23973997E+03,   0.17312702E+03,   0.32363471E+03,   0.21360842E+02,   0.38504830E+02
1986,11,   0.13924715E+04,   0.99738480E+03,   0.18928175E+04,   0.10739402E+03,   0.22911399E+03
1986,12,   0.11040132E+05,   0.76196472E+04,   0.15481400E+05,   0.81435135E+03,   0.20129795E+04
1987, 1,   0.73523849E+04,   0.52405195E+04,   0.10035774E+05,   0.53129136E+03,   0.12270674E+04
1987, 2,   0.11230119E+05,   0.83556675E+04,   0.14777461E+05,   0.79303449E+03,   0.16420953E+04
1987, 3,   0.15253892E+05,   0.10710367E+05,   0.21085734E+05,   0.10485661E+04,   0.26557062E+04
1987, 4,   0.31844601E+05,   0.23259381E+05,   0.42574007E+05,   0.23887940E+04,   0.49403622E+04
1987, 5,   0.87321586E+04,   0.64762176E+04,   0.11522324E+05,   0.59251429E+03,   0.12903887E+04
1987, 6,   0.23947665E+04,   0.17508281E+04,   0.31990042E+04,   0.16542852E+03,   0.37041357E+03
1987, 7,   0.82775953E+03,   0.60755538E+03,   0.11020483E+04,   0.58075191E+02,   0.12647287E+03
1987, 8,   0.18264270E+03,   0.13591432E+03,   0.24030387E+03,   0.15271635E+02,   0.26693039E+02
1987, 9,   0.12271305E+05,   0.78305225E+04,   0.18344598E+05,   0.91115227E+03,   0.26966903E+04
