CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.20455391E+04,   0.16341103E+04,   0.25289719E+04,   0.20017649E+03,   0.22859574E+03
1986,   0.12364095E+04,   0.10265722E+04,   0.14763973E+04,   0.10220536E+03,   0.11486041E+03
1987,   0.16799342E+04,   0.14251888E+04,   0.19668855E+04,   0.10947598E+03,   0.13829103E+03
1988,   0.89159120E+03,   0.77510909E+03,   0.10205401E+04,   0.51060495E+02,   0.62643942E+02
1989,   0.14204034E+04,   0.12564463E+04,   0.15996721E+04,   0.62242658E+02,   0.87594190E+02
1990,   0.11658873E+04,   0.10405821E+04,   0.13020179E+04,   0.44617564E+02,   0.66716814E+02
1991,   0.90578846E+03,   0.80755515E+03,   0.10125921E+04,   0.32895923E+02,   0.52324533E+02
1992,   0.84674440E+03,   0.75571319E+03,   0.94564251E+03,   0.30536738E+02,   0.48468807E+02
1993,   0.85436577E+03,   0.75732883E+03,   0.96030595E+03,   0.31651148E+02,   0.51800802E+02
1994,   0.76803341E+03,   0.68159514E+03,   0.86232375E+03,   0.29127443E+02,   0.46122514E+02
1995,   0.66587176E+03,   0.59082641E+03,   0.74774465E+03,   0.25806633E+02,   0.40046078E+02
1996,   0.85836366E+03,   0.76069297E+03,   0.96501377E+03,   0.33347437E+02,   0.52143796E+02
1997,   0.54662154E+03,   0.48732756E+03,   0.61108980E+03,   0.21884733E+02,   0.31583584E+02
1998,   0.69607462E+03,   0.61393067E+03,   0.78607785E+03,   0.27282638E+02,   0.43934331E+02
1999,   0.42468530E+03,   0.37825334E+03,   0.47520407E+03,   0.16443007E+02,   0.24741557E+02
2000,   0.43476979E+03,   0.38773761E+03,   0.48589404E+03,   0.17779227E+02,   0.25049041E+02
2001,   0.33724882E+03,   0.29643610E+03,   0.38207573E+03,   0.15971730E+02,   0.21856935E+02
2002,   0.33418328E+03,   0.29065546E+03,   0.38235421E+03,   0.18011877E+02,   0.23405158E+02
2003,   0.86825386E+03,   0.73910859E+03,   0.10133750E+04,   0.59110987E+02,   0.70016010E+02
2004,   0.62506958E+03,   0.52112700E+03,   0.74360286E+03,   0.50591468E+02,   0.56805685E+02
