CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.22235389E+03,   0.17904106E+03,   0.27296692E+03,   0.19788572E+02,   0.23991458E+02
1986,   0.21350148E+03,   0.18002974E+03,   0.25136719E+03,   0.14965224E+02,   0.18212914E+02
1987,   0.27018671E+03,   0.22693578E+03,   0.31925122E+03,   0.19996922E+02,   0.23569595E+02
1988,   0.23267340E+03,   0.20418491E+03,   0.26400017E+03,   0.12399008E+02,   0.15266217E+02
1989,   0.37136890E+03,   0.29759654E+03,   0.45786465E+03,   0.34355027E+02,   0.40939562E+02
1990,   0.30899732E+03,   0.26871908E+03,   0.35357568E+03,   0.18289291E+02,   0.21658791E+02
1991,   0.20371846E+03,   0.17806740E+03,   0.23200515E+03,   0.10249989E+02,   0.13766541E+02
1992,   0.23903850E+03,   0.21069666E+03,   0.27010600E+03,   0.12124832E+02,   0.15162148E+02
1993,   0.34731806E+03,   0.27494255E+03,   0.43290117E+03,   0.33757676E+02,   0.40355651E+02
1994,   0.31072451E+03,   0.27084857E+03,   0.35478469E+03,   0.18173265E+02,   0.21423470E+02
1995,   0.20684304E+03,   0.17896268E+03,   0.23781261E+03,   0.11990622E+02,   0.15021449E+02
1996,   0.43369347E+03,   0.35586076E+03,   0.52345182E+03,   0.38105432E+02,   0.42798724E+02
1997,   0.22779177E+03,   0.20101821E+03,   0.25711565E+03,   0.11445095E+02,   0.14316788E+02
1998,   0.28482950E+03,   0.23701768E+03,   0.33942532E+03,   0.22501127E+02,   0.26148657E+02
1999,   0.20741594E+03,   0.17125486E+03,   0.24893570E+03,   0.15442974E+02,   0.19836517E+02
2000,   0.21476129E+03,   0.18964779E+03,   0.24225363E+03,   0.10654494E+02,   0.13425625E+02
2001,   0.18397108E+03,   0.15856111E+03,   0.21227409E+03,   0.10932784E+02,   0.13710664E+02
2002,   0.14748268E+03,   0.12762188E+03,   0.16954185E+03,   0.85404967E+01,   0.10700063E+02
2003,   0.52181311E+03,   0.40973979E+03,   0.65508653E+03,   0.58053464E+02,   0.62688265E+02
2004,   0.26419814E+03,   0.21782824E+03,   0.31749272E+03,   0.22275098E+02,   0.25450617E+02
