YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.54856155E+01,   0.33341879E+01,   0.85225258E+01,   0.73015522E+00,   0.13323514E+01
1985, 2,   0.23399945E+03,   0.50370698E+02,   0.69451557E+03,   0.94650884E+02,   0.17592022E+03
1985, 3,   0.70202418E+01,   0.41826469E+01,   0.11077515E+02,   0.90370491E+00,   0.17715365E+01
1985, 4,   0.37170434E+01,   0.24960477E+01,   0.53316639E+01,   0.47076337E+00,   0.72645728E+00
1985, 5,   0.22085108E+02,   0.89935053E+01,   0.45671190E+02,   0.39081791E+01,   0.95627209E+01
1985, 6,   0.14064129E+02,   0.51380562E+01,   0.31160469E+02,   0.24097814E+01,   0.68242693E+01
1985, 7,   0.18876437E+02,   0.81489671E+01,   0.37561489E+02,   0.32089572E+01,   0.76469792E+01
1985, 8,   0.34283382E+01,   0.21652523E+01,   0.51674320E+01,   0.43230940E+00,   0.77020154E+00
1985, 9,   0.19640680E+03,   0.38978916E+02,   0.60623468E+03,   0.76714767E+02,   0.15619710E+03
1985,10,   0.68616099E+01,   0.34019966E+01,   0.12410299E+02,   0.95692411E+00,   0.23284707E+01
1985,11,   0.28197168E+02,   0.13518611E+02,   0.52222732E+02,   0.49226526E+01,   0.10017336E+02
1985,12,   0.41074608E+01,   0.25714041E+01,   0.62345845E+01,   0.48249344E+00,   0.93998328E+00
1986, 1,   0.15916135E+02,   0.49606402E+01,   0.38781186E+02,   0.29871426E+01,   0.89582486E+01
1986, 2,   0.16287931E+02,   0.86379485E+01,   0.28060112E+02,   0.21594741E+01,   0.50081200E+01
1986, 3,   0.54207202E+01,   0.35117481E+01,   0.80056973E+01,   0.58876097E+00,   0.11522175E+01
1986, 4,   0.10322813E+02,   0.62565716E+01,   0.16073105E+02,   0.11867136E+01,   0.25210483E+01
1986, 5,   0.37183884E+01,   0.25391747E+01,   0.52604473E+01,   0.39903719E+00,   0.69692207E+00
