YEAR,MONTH,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985, 1,   0.99235806E+03,   0.31114849E+03,   0.24096184E+04,   0.17761316E+03,   0.55560711E+03
1985, 2,   0.29132439E+06,   0.16899030E+05,   0.14069153E+07,   0.17190498E+06,   0.46699548E+06
1985, 3,   0.12200113E+04,   0.34592531E+03,   0.31361152E+04,   0.20602024E+03,   0.74410435E+03
1985, 4,   0.47733185E+03,   0.21334007E+03,   0.92788481E+03,   0.77649851E+02,   0.18548343E+03
1985, 5,   0.68439320E+04,   0.76020503E+03,   0.26919969E+05,   0.17659251E+04,   0.77695681E+04
1985, 6,   0.40756242E+04,   0.38396499E+03,   0.16989295E+05,   0.99820526E+03,   0.50681641E+04
1985, 7,   0.54129778E+04,   0.67809170E+03,   0.20350172E+05,   0.13073927E+04,   0.57370482E+04
1985, 8,   0.52776399E+03,   0.20001164E+03,   0.11428097E+04,   0.83817706E+02,   0.24673717E+03
1985, 9,   0.26053372E+06,   0.14638923E+05,   0.12689789E+07,   0.14240029E+06,   0.42443529E+06
1985,10,   0.17379263E+04,   0.32611641E+03,   0.55068037E+04,   0.33843730E+03,   0.14350920E+04
1985,11,   0.11682598E+05,   0.22603565E+04,   0.36494017E+05,   0.29311736E+04,   0.94517297E+04
1985,12,   0.78404542E+03,   0.25506141E+03,   0.18632645E+04,   0.12367594E+03,   0.42475460E+03
1986, 1,   0.77084594E+04,   0.56965424E+03,   0.34736658E+05,   0.22501701E+04,   0.10909213E+05
1986, 2,   0.48525737E+04,   0.97071173E+03,   0.14921823E+05,   0.94315108E+03,   0.38383489E+04
1986, 3,   0.94008662E+03,   0.32532627E+03,   0.21531523E+04,   0.13397717E+03,   0.48087852E+03
1986, 4,   0.21428666E+04,   0.63019018E+03,   0.53971616E+04,   0.32551439E+03,   0.12678464E+04
1986, 5,   0.52996824E+03,   0.23889970E+03,   0.10242305E+04,   0.71910766E+02,   0.20378174E+03
1986, 6,   0.62093481E+03,   0.15117076E+03,   0.17320064E+04,   0.85221192E+02,   0.42685189E+03
1986, 7,   0.84949783E+04,   0.77842435E+03,   0.35744105E+05,   0.23172847E+04,   0.10723894E+05
1986, 8,   0.21367521E+05,   0.14870480E+04,   0.98030439E+05,   0.72950093E+04,   0.31199540E+05
1986, 9,   0.32073102E+03,   0.13799815E+03,   0.63963480E+03,   0.42632387E+02,   0.13044104E+03
1986,10,   0.62858964E+03,   0.16298725E+03,   0.16962648E+04,   0.89031211E+02,   0.41180091E+03
1986,11,   0.59203619E+04,   0.18213127E+04,   0.14534311E+05,   0.11001356E+04,   0.33703975E+04
1986,12,   0.18571226E+06,   0.17558266E+05,   0.77321014E+06,   0.88173030E+05,   0.23049273E+06
1987, 1,   0.12969403E+05,   0.10782649E+04,   0.56338133E+05,   0.38575298E+04,   0.17249455E+05
1987, 2,   0.20435340E+04,   0.83599916E+03,   0.42133274E+04,   0.27152741E+03,   0.88034575E+03
1987, 3,   0.32958936E+05,   0.27481070E+04,   0.14303868E+06,   0.12339582E+05,   0.43768406E+05
1987, 4,   0.33991569E+05,   0.24715725E+04,   0.15392762E+06,   0.12887662E+05,   0.48514601E+05
1987, 5,   0.77382603E+04,   0.76245907E+03,   0.31764844E+05,   0.18882876E+04,   0.93898824E+04
1987, 6,   0.20286510E+05,   0.13545710E+04,   0.94200597E+05,   0.69150292E+04,   0.30261729E+05
1987, 7,   0.71502857E+03,   0.24696681E+03,   0.16395929E+04,   0.89411396E+02,   0.36642586E+03
1987, 8,   0.35354894E+03,   0.16314539E+03,   0.67241506E+03,   0.41609144E+02,   0.13201532E+03
1987, 9,   0.26449409E+06,   0.31017464E+05,   0.10196619E+07,   0.11999840E+06,   0.29117425E+06
1987,10,   0.69371631E+04,   0.61619285E+03,   0.29493148E+05,   0.17141384E+04,   0.89056776E+04
1987,11,   0.64412197E+05,   0.41076567E+04,   0.30304920E+06,   0.26992282E+05,   0.98383196E+05
1987,12,   0.18991294E+04,   0.51082363E+03,   0.50248866E+04,   0.25787169E+03,   0.12087702E+04
1988, 1,   0.35221682E+05,   0.22061911E+04,   0.16655009E+06,   0.14000161E+05,   0.54294325E+05
1988, 2,   0.77822941E+04,   0.11987037E+04,   0.26910439E+05,   0.15592076E+04,   0.72901102E+04
1988, 3,   0.60961439E+04,   0.80890025E+03,   0.22408343E+05,   0.12737164E+04,   0.62474168E+04
1988, 4,   0.25635531E+04,   0.56441477E+03,   0.75245152E+04,   0.35662492E+03,   0.18967145E+04
1988, 5,   0.49881221E+05,   0.86246992E+04,   0.16403405E+06,   0.15343620E+05,   0.43448744E+05
1988, 6,   0.73147463E+03,   0.28951131E+03,   0.15407686E+04,   0.82078792E+02,   0.32670568E+03
1988, 7,   0.22325920E+04,   0.35618461E+03,   0.76051537E+04,   0.36414603E+03,   0.20462961E+04
1988, 8,   0.50722811E+04,   0.10026354E+04,   0.15685846E+05,   0.99618730E+03,   0.40447931E+04
1988, 9,   0.17261831E+04,   0.30513715E+03,   0.56206045E+04,   0.27399493E+03,   0.14822909E+04
1988,10,   0.12956788E+04,   0.19327705E+03,   0.45411417E+04,   0.19527582E+03,   0.12378386E+04
1988,11,   0.15435683E+05,   0.15167037E+04,   0.63422609E+05,   0.41919292E+04,   0.18758583E+05
1988,12,   0.80588366E+03,   0.25015611E+03,   0.19682148E+04,   0.94768300E+02,   0.45519910E+03
1989, 1,   0.39985486E+04,   0.78727639E+03,   0.12388454E+05,   0.64026739E+03,   0.31971076E+04
1989, 2,   0.67113095E+04,   0.93249878E+03,   0.24218781E+05,   0.13527046E+04,   0.66925182E+04
1989, 3,   0.55263218E+05,   0.43775351E+04,   0.24376510E+06,   0.22268749E+05,   0.75409698E+05
1989, 4,   0.36967884E+04,   0.97853246E+03,   0.98662940E+04,   0.49820424E+03,   0.23830172E+04
1989, 5,   0.46905892E+07,   0.23183694E+06,   0.23611422E+08,   0.38757907E+07,   0.81504250E+07
1989, 6,   0.43969887E+05,   0.55423617E+04,   0.16491028E+06,   0.13904934E+05,   0.46435223E+05
1989, 7,   0.26002837E+05,   0.23549661E+04,   0.10984080E+06,   0.79964071E+04,   0.33034093E+05
1989, 8,   0.71201997E+03,   0.32329349E+03,   0.13692965E+04,   0.82615340E+02,   0.27133713E+03
1989, 9,   0.89922138E+04,   0.12213237E+04,   0.32748198E+05,   0.20123041E+04,   0.90892218E+04
1989,10,   0.54043818E+05,   0.68275663E+04,   0.20251559E+06,   0.18259648E+05,   0.56999157E+05
1989,11,   0.17773780E+05,   0.12095569E+04,   0.82079345E+05,   0.55646575E+04,   0.26254675E+05
1989,12,   0.52733112E+03,   0.28024126E+03,   0.90707452E+03,   0.63813616E+02,   0.16162125E+03
1990, 1,   0.15501631E+05,   0.30230127E+04,   0.48245033E+05,   0.36082497E+04,   0.12475102E+05
1990, 2,   0.20268389E+04,   0.69958250E+03,   0.46495456E+04,   0.23741795E+03,   0.10393521E+04
1990, 3,   0.49191157E+04,   0.89690813E+03,   0.15793790E+05,   0.86609774E+03,   0.41396752E+04
1990, 4,   0.15216772E+05,   0.19234821E+04,   0.57008510E+05,   0.37871858E+04,   0.16043609E+05
1990, 5,   0.71146079E+05,   0.74556898E+04,   0.28579255E+06,   0.26970109E+05,   0.83442698E+05
1990, 6,   0.27840650E+04,   0.62269361E+03,   0.81079928E+04,   0.38263599E+03,   0.20367890E+04
1990, 7,   0.12465412E+05,   0.21438653E+04,   0.41089866E+05,   0.28488731E+04,   0.10895146E+05
1990, 8,   0.71984348E+05,   0.72346706E+04,   0.29345808E+06,   0.26497320E+05,   0.86401691E+05
1990, 9,   0.67029254E+03,   0.30601301E+03,   0.12842420E+04,   0.78240352E+02,   0.25369671E+03
1990,10,   0.18819813E+06,   0.10908296E+05,   0.90907322E+06,   0.94288247E+05,   0.30180424E+06
1990,11,   0.53362002E+05,   0.32473860E+04,   0.25435957E+06,   0.21516695E+05,   0.83479138E+05
1990,12,   0.12736251E+05,   0.33146003E+04,   0.34301519E+05,   0.24970498E+04,   0.83198020E+04
1991, 1,   0.19847023E+05,   0.23703059E+04,   0.75989600E+05,   0.55214467E+04,   0.21622477E+05
1991, 2,   0.84770568E+03,   0.41407894E+03,   0.15494946E+04,   0.10192950E+03,   0.29365054E+03
1991, 3,   0.14480980E+06,   0.87631748E+04,   0.69133025E+06,   0.74167787E+05,   0.22718883E+06
1991, 4,   0.14345670E+04,   0.66783331E+03,   0.27118845E+04,   0.16185673E+03,   0.52967317E+03
1991, 5,   0.98120424E+03,   0.36304375E+03,   0.21568636E+04,   0.11008545E+03,   0.47008238E+03
1991, 6,   0.75475817E+04,   0.54840721E+03,   0.34185772E+05,   0.19558533E+04,   0.10776284E+05
1991, 7,   0.17251646E+05,   0.14963530E+04,   0.73920148E+05,   0.49737604E+04,   0.22431739E+05
1991, 8,   0.16753010E+04,   0.17774932E+03,   0.66999411E+04,   0.27969049E+03,   0.19513577E+04
1991, 9,   0.66627448E+04,   0.48666915E+03,   0.30130279E+05,   0.16701598E+04,   0.94868624E+04
1991,10,   0.30550401E+04,   0.36602153E+03,   0.11682973E+05,   0.56700656E+03,   0.33222750E+04
1991,11,   0.18217210E+04,   0.20753814E+03,   0.70991491E+04,   0.28921687E+03,   0.20387595E+04
