CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP
1985,   0.13847647E+05,   0.58945411E+04,   0.27814266E+05,   0.33924899E+04,   0.57026737E+04
1986,   0.13072255E+05,   0.58102733E+04,   0.25506760E+05,   0.32677847E+04,   0.51141226E+04
1987,   0.15891026E+05,   0.72670055E+04,   0.30411319E+05,   0.36753616E+04,   0.60018817E+04
1988,   0.15602501E+05,   0.57243947E+04,   0.34477655E+05,   0.39764123E+04,   0.75385883E+04
1989,   0.52135339E+05,   0.19591575E+05,   0.11349588E+06,   0.16058901E+05,   0.24586916E+05
1990,   0.24732307E+05,   0.12391654E+05,   0.44398676E+05,   0.56495372E+04,   0.82699294E+04
1991,   0.75154971E+04,   0.41851023E+04,   0.12486437E+05,   0.12186983E+04,   0.21371434E+04
1992,   0.24708770E+05,   0.10767844E+05,   0.48857546E+05,   0.64523673E+04,   0.98986656E+04
1993,   0.56272554E+05,   0.20436583E+05,   0.12513582E+06,   0.19036530E+05,   0.27466296E+05
1994,   0.26521564E+05,   0.14754496E+05,   0.44095840E+05,   0.59883871E+04,   0.75540344E+04
1995,   0.17534842E+05,   0.77374332E+04,   0.34382435E+05,   0.41985697E+04,   0.69205262E+04
1996,   0.19506248E+06,   0.49454972E+05,   0.53268263E+06,   0.82484417E+05,   0.13002614E+06
1997,   0.62024138E+04,   0.26281384E+04,   0.12495971E+05,   0.11048477E+04,   0.25677890E+04
1998,   0.23645781E+05,   0.11881432E+05,   0.42360808E+05,   0.58022521E+04,   0.78743745E+04
1999,   0.97722730E+04,   0.42967899E+04,   0.19207606E+05,   0.19457399E+04,   0.38734191E+04
2000,   0.12733341E+05,   0.60395276E+04,   0.23760659E+05,   0.26859693E+04,   0.45885358E+04
2001,   0.35864641E+04,   0.15305445E+04,   0.71915698E+04,   0.60327950E+03,   0.14726054E+04
2002,   0.58596079E+04,   0.36691828E+04,   0.88924255E+04,   0.94355682E+03,   0.13402920E+04
2003,   0.45582208E+05,   0.19619303E+05,   0.90882957E+05,   0.13330289E+05,   0.18530444E+05
2004,   0.17799085E+05,   0.87046142E+04,   0.32507185E+05,   0.43516991E+04,   0.61557344E+04
